,,,,University of Michigan Norms 1  (n = 113),,,,,,,,,,Snodgrass & Vanderwart Norms 2 (n = 42),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picture,Concept 4,,,Familiarity 5,,,Name agreement 6,,,Concept agreement 7,,,,Familiarity 5,,,Name agreement 6,,,Concept agreement 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no. 3,,,,Mean,s.d.,,H,%,,%,,,,Mean,s.d.,,H,%,,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,drum,,,3.00,0.99,a,0.20,97,,97,,,,2.60,1.10,a,0.00,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,duck,,,3.12,0.90,a,0.15,98,,98,,,,2.75,1.11,a,0.28,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,eagle,,,2.50,1.01,,1.57,68,,68,,,,2.42,1.30,,1.14,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,ear,,,4.94,0.24,a,0.07,99,,99,,,,4.50,0.70,a,0.28,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,elephant,,,2.16,1.04,,0.00,100,,100,,,,2.35,1.04,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,envelope,,,4.36,0.66,,0.34,94,,94,,,,4.12,0.93,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,eye,,,4.94,0.41,,0.07,99,,99,,,,4.88,0.40,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,fence,,,3.66,0.97,a,0.63,88,b,88,,,,3.02,1.06,a,0.94,74,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,finger,,,4.96,0.21,a,0.85,82,,100,c,,,4.78,0.79,a,1.37,71,,88,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,fish,,,3.45,0.85,,0.15,98,,98,,,,3.28,1.22,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,flag,,,3.72,1.00,a,0.07,99,,99,,,,2.90,1.28,a,0.32,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,flower,,,4.19,0.85,,0.29,96,,96,,,,3.88,1.19,,0.48,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,flute,,,2.43,1.08,,1.17,72,b,72,,,,2.45,1.22,,0.61,88,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,fly,,,4.04,0.78,a,0.33,95,b,95,,,,3.02,1.06,a,1.15,76,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,foot,,,4.94,0.28,a,0.07,99,,99,,,,4.78,0.69,a,0.28,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,football,,,3.77,0.94,,0.00,100,,100,,,,3.55,1.24,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,football helmet,,,3.09,1.18,,0.97,60,,100,,,,3.15,1.24,,0.95,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,fork,,,4.91,0.32,a,0.00,100,,100,,,,4.78,0.47,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,fox,,,1.98,0.94,,0.57,89,b,89,,,,1.95,0.84,,1.27,74,b,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,French horn,,,2.44,0.98,a,1.39,65,,65,,,,2.00,1.05,a,1.67,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,frog,,,2.80,0.91,,0.18,97,,97,,,,2.48,1.05,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,frying pan,d,(pan),3.95,0.87,,1.57,65,,95,,,,4.15,0.96,,1.18,60,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,garbage can,d,(trash can),4.37,0.78,,1.23,68,b,95,,,,4.08,1.10,,0.76,88,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,giraffe,,,1.97,0.92,,0.00,100,b,100,,,,1.80,0.95,,0.32,95,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,glass,,,4.93,0.26,a,0.46,92,,92,,,,4.78,0.52,a,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,glasses,,,4.29,0.97,,0.56,87,b,100,,,,4.00,1.30,,1.07,64,b,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,glove,,,3.76,0.85,a,0.20,97,,97,,,,3.38,1.06,a,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,goat,,,2.04,0.90,,0.62,91,,91,,,,1.92,1.06,,0.77,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,gorilla,,,2.08,0.99,,1.06,64,,64,,,,2.05,1.18,,0.79,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,grapes,,,3.91,0.81,,0.07,99,b,99,,,,3.65,1.04,,0.38,90,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,grasshopper,,,2.88,0.94,a,1.03,77,,77,,,,2.42,1.07,a,1.47,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,guitar,,,3.43,1.09,,0.00,100,,100,,,,3.58,1.09,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,gun,,,2.34,1.23,,0.44,93,b,93,,,,2.68,1.19,,1.09,74,b,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,hair,,,4.84,0.61,a,0.68,88,,88,,,,4.59,0.74,a,0.64,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,hammer,,,3.24,1.02,,0.00,100,,100,,,,3.48,1.16,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,hand,,,4.97,0.21,a,0.15,98,b,98,,,,4.82,0.67,a,0.44,93,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,hanger,,,4.80,0.48,a,0.39,95,b,99,,,,4.52,0.67,a,0.74,86,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,harp,,,2.09,0.96,,0.15,93,,93,,,,1.88,1.08,,0.00,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,hat,,,3.45,1.00,,0.45,94,,94,,,,3.18,1.00,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,heart,,,4.13,0.95,a,0.26,96,,96,,,,3.72,1.16,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,helicopter,,,2.64,1.04,,0.00,100,b,100,,,,2.55,1.12,,0.32,95,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,horse,,,2.88,0.97,a,0.00,100,,100,,,,3.55,1.14,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,house,,,4.85,0.50,a,0.25,96,,96,,,,4.38,1.04,a,0.32,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,iron,,,3.45,0.94,,0.07,99,,99,,,,3.65,1.08,,0.32,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,ironing board,,,3.23,1.00,,0.78,87,,92,,,,3.50,1.07,,0.56,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,jacket,,,4.29,0.81,,1.80,50,b,50,,,,4.00,1.14,,0.95,81,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,kangaroo,,,1.87,0.94,,0.00,100,,100,,,,1.92,1.15,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,kettle,,,3.01,1.15,a,2.09,33,,63,c,,,3.80,1.17,a,1.66,40,,98,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,key,,,4.96,0.21,a,0.00,100,,100,,,,4.85,0.42,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,kite,,,2.55,0.91,,0.00,100,,100,,,,2.48,1.14,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,knife,,,4.80,0.50,a,0.53,89,,89,,,,4.45,0.84,a,0.60,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,ladder,,,3.37,0.98,,0.07,99,,99,,,,3.35,1.15,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,lamp,,,4.64,0.57,a,0.13,98,b,98,,,,4.20,0.95,a,0.44,93,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,leaf,,,4.64,0.61,a,0.47,91,,91,,,,4.30,0.75,a,0.53,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,leg,,,4.96,0.28,a,0.35,96,b,96,c,,,4.65,0.82,a,1.11,81,b,88,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,lemon,,,3.23,0.90,,0.53,92,b,92,,,,3.25,1.22,,0.00,100,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,leopard,,,1.93,0.95,,1.56,50,b,50,c,,,1.92,0.93,,1.07,76,b,86,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,lettuce,,,4.06,0.96,a,1.13,77,,77,,,,3.42,1.24,a,1.14,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,light bulb,,,4.46,0.69,a,0.47,93,,93,,,,4.18,0.80,a,0.68,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,light switch,,,4.87,0.45,a,0.60,88,b,88,,,,4.58,0.63,a,0.92,67,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,lion,,,2.10,1.05,,0.20,97,,97,,,,2.00,1.07,,0.37,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,lips,,,4.87,0.39,a,0.37,93,,93,,,,4.50,0.81,a,0.44,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,lobster,,,2.73,0.97,,0.37,94,,94,,,,2.58,1.24,,0.38,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,lock,,,3.81,0.91,a,0.64,86,,99,,,,3.18,1.18,a,0.53,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,mitten,,,3.43,0.99,,0.56,99,b,99,,,,3.10,1.22,,0.96,76,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,monkey,,,2.31,0.92,,0.29,96,,96,,,,2.58,0.97,,0.32,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,moon,,,4.39,0.83,a,0.74,85,b,85,c,,,3.98,1.01,a,1.68,62,b,95,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,motorcycle,,,3.02,0.99,,0.25,96,,96,,,,3.25,1.09,,0.32,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
