"Appendix A"
"Words included in the database and their values in AoA Logistic Regression (AoA_LR), AoA based on the 75% rule (AoA_75), Adults Rated AoA (Rated AoA), Adults Picture Naming Times (RTs), Adults Rated Typicality (Typ _Ad), Adults Rated Familiarity (Fam_Ad), Corpus Word Frequency (Frq_Ad), Children Essays Word Frequency (Frq_Es), Word Length in letters (L)"
Italian nouns,English noun,AoA_LR,AoA_75,Rated AoA,RTs,Typ_Ad,Fam_Ad,Frq_Ad,Frq_Es,L
MOTOSCAFO,MOTORBOAT,97.77,-,66.4,1073,3.73,4.86,1.51,6.45,9
MUCCA,COW,21.27,38.5,39.2,870,5.46,6.13,1.69,71.54,5
MULINO,WINDMILL,69.55,89.5,58.4,770,2.93,2.00,2.09,28.72,6
NACCHERE,CASTANETS,-,140.0,85.6,1267,2.78,3.46,0.69,-,8
NAVE,SHIP,70.68,74.5,47.2,747,4.46,4.46,2.79,63.51,4
NOCE,WALNUT,65.93,80.5,52.4,822,4.60,5.06,2.30,13.95,4
OCA,GOOSE,81.63,140.0,48.4,974,3.40,5.00,2.64,15.55,3
OMBRELLO,UMBRELLA,18.17,26.5,46.0,592,2.93,6.06,1.84,72.29,8
ORECCHINI,EARRINGS,69.37,101.5,61.6,976,5.66,4.33,1.79,-,9
ORGANO,ORGAN,127.84,140.0,82.4,895,3.86,4.33,2.43,3.72,6
ORSO,BEAR,35.44,38.5,44.4,796,5.20,3.60,2.35,90.34,4
PANNOCCHIA,CORN,51.84,50.5,68.4,828,3.33,5.42,1.07,-,10
PANTALONI,PANTS,17.71,32.5,38.8,676,6.73,6.80,2.38,-,9
PANTOFOLE,SLIPPERS,75.66,113.5,52.2,1065,3.00,4.66,1.73,-,9
PAPPAGALLO,PARROT,45.27,56.5,54.4,1095,5.33,4.93,1.67,28.89,10
PAVONE,PEACOCK,78.52,89.5,67.6,908,3.60,4.13,1.34,2.73,6
PECORA,SHEEP,22.45,50.5,45.2,1045,4.53,5.33,1.89,31.75,6
PELLICANO,PELICAN,121.77,-,83.2,1074,3.53,3.66,0.30,-,9
PENNELLO,BRUSH,56.41,74.5,60.0,1050,5.13,3.20,1.82,5.33,8
PENTOLA,POT,27.43,44.5,44.4,744,6.73,7.00,1.94,19.39,7
PEPERONE,PEPPER,78.39,89.5,66.4,1103,5.57,6.40,1.55,1.19,8
PERA,PEAR,29.10,38.5,36.0,696,6.66,5.80,1.74,9.74,4
PESCA,PEACH,71.72,89.5,40.4,1144,6.06,6.20,2.12,45.63,5
PIANOFORTE,PIANO,55.27,74.5,66.0,674,5.06,5.40,2.30,12.17,10
PICCHIO,WOODPECKER,78.49,89.5,65.2,1140,5.60,4.26,0.69,0.06,7
PICCIONE,PIGEON,98.77,-,58.0,1280,4.66,5.66,1.43,3.96,8
PIGIAMA,PAJAMAS,65.49,89.5,39.6,848,2.46,6.06,1.50,9.95,7
PINGUINO,PENGUIN,55.55,68.5,51.2,904,3.20,3.60,1.25,0.43,8
PIPA,PIPE,56.11,68.5,56.4,737,4.33,2.73,1.83,0.26,4
PIRAMIDE,PYRAMID,88.05,101.5,70.8,878,2.26,2.60,2.06,3.77,8
PISCINA,SWIMMING POOL,46.80,50.5,52.4,1041,4.73,4.60,2.35,45.26,7
PISELLI,PEAS,59.32,74.5,52.0,1010,6.73,6.20,1.81,-,7
PISTOLA,GUN,33.52,44.5,51.6,662,6.66,1.73,2.49,30.06,7
POLTRONA,ARMCHAIR,40.15,50.5,44.0,742,6.20,6.26,2.57,36.09,8
POMODORO,TOMATO,59.61,80.5,44.0,1025,2.66,6.66,2.24,4.58,8
PONTE,BRIDGE,51.24,56.5,54.4,1050,3.21,3.93,2.82,45.83,5
PORTICO,COLONNADE,115.02,140.0,78.8,1081,1.70,4.70,1.78,2.39,7
POZZO,WELL,66.81,74.5,58.4,806,6.40,3.13,2.17,3.70,5
PUGNALE,DAGGER,60.65,89.5,64.4,733,5.13,1.46,1.57,3.82,7
RADIO,RADIO,51.20,62.5,50.8,778,5.33,6.86,2.98,41.44,5
RAPA,TURNIP,-,-,82.0,1450,4.93,4.06,0.69,-,4
RASTRELLO,RAKE,69.12,113.5,59.6,870,5.20,3.46,0.95,1.15,9
RINOCERONTE,RHINOCEROS,49.80,56.5,68.8,750,3.66,2.66,1.77,2.17,11
RONDINE,SWALLOW,71.12,101.5,60.4,834,6.73,6.20,1.36,47.74,7
ROULOTTE,TRAILER,103.18,140.0,82.0,868,3.13,5.06,1.50,3.00,8
RUBINETTO,FAUCET,54.98,56.5,48.8,781,5.53,6.66,1.79,1.56,9
SANDALI,SANDALS,69.12,74.5,47.4,1102,3.90,3.90,1.63,-,7
SASSOFONO,SAXOPHONE,127.52,-,93.6,912,5.66,4.53,0.84,-,9
SCALINATA,STAIRWAY,21.99,32.5,34.4,695,3.26,5.26,1.47,6.39,9
SCARPE,SHOES,-,26.5,33.0,684,6.13,5.60,2.73,-,6
SCATOLA,BOX,33.23,38.5,36.4,625,5.46,5.33,2.45,42.95,7
SCIARPA,SCARF,41.64,50.5,40.4,717,5.86,6.33,1.79,8.57,7
SCOIATTOLO,SQUIRREL,41.53,44.5,46.8,705,4.06,4.46,1.04,31.83,10
SCRIVANIA,DESK,85.12,101.5,58.8,833,5.73,6.20,2.47,12.15,9
SECCHIO,BUCKET,51.12,56.5,45.6,761,6.13,4.80,1.47,8.79,7
SEDANO,CELERY,116.75,140.0,68.4,1071,4.93,6.00,1.63,-,6
SEDIA,CHAIR,-,26.5,34.8,555,6.26,6.80,2.40,74.48,5
SGABELLO,STOOL,81.48,125.5,49.6,736,4.13,4.66,1.65,2.91,8
SLITTA,SLED,59.27,74.5,51.2,849,1.86,3.26,1.50,1.19,6
SOMMERGIBILE,SUBMARINE,93.58,125.5,84.8,1270,2.06,1.80,1.04,-,12
SPADA,SWORD,33.72,38.5,46.8,821,4.70,1.70,2.35,18.06,5
STIVALI,BOOTS,30.57,56.5,51.6,709,4.33,4.33,2.08,-,7
STRUZZO,OSTRICH,62.18,74.5,72.4,1012,2.86,3.26,1.27,10.45,7
SVEGLIA,CLOCK,41.93,50.5,56.4,710,6.00,6.93,1.93,22.50,7
TAMBURO,DRUM,33.72,50.5,52.4,790,5.13,4.33,1.85,6.66,7
TANICA,JERRY CAN,-,140.0,93.2,853,4.46,4.06,0.69,-,6
TAVOLO,TABLE,-,32.5,35.6,609,6.60,6.93,2.99,74.16,6
TENAGLIA,PINCERS,89.66,-,88.4,815,6.00,3.66,1.34,-,8
TENDA,TENT,65.82,74.5,53.2,925,1.80,3.46,1.94,17.88,5
TIGRE,TIGER,32.09,38.5,48.0,660,5.66,4.06,2.17,39.11,5
TOPO,MOUSE,37.33,38.5,42.4,650,2.53,5.53,2.58,46.23,4
TORRE,TOWER,66.24,74.5,60.0,809,4.66,3.93,2.57,25.20,5
TRAM,TRAM CAR,-,-,78.4,993,4.60,4.93,2.12,5.05,4
TRAPANO,DRILL,52.57,56.5,62.8,825,6.20,3.26,1.39,-,7
TRATTORE,TRACTOR,32.85,32.5,48.0,787,3.13,5.46,1.20,18.45,8
TRENO,TRAIN,26.32,38.5,41.2,836,6.06,6.53,2.77,73.91,5
TRICICLO,TRICYCLE,53.62,74.5,36.0,839,2.73,5.33,1.07,-,8
TROMBA,TRUMPET,31.59,50.5,52.8,814,5.53,4.46,1.87,3.62,6
TUCANO,TOUCAN,125.78,-,98.4,1371,4.93,3.33,0.84,-,6
UVA,GRAPES,29.82,38.5,43.2,577,6.33,6.35,2.27,18.68,3
VESTITO,DRESS,44.52,74.5,34.4,700,5.73,3.53,2.40,29.65,7
VIOLINO,VIOLIN,124.55,140.0,66.4,763,6.33,4.53,2.15,1.15,7
ZAINO,BACKPACK,75.16,101.5,68.0,1307,6.60,4.80,1.92,12.22,5
ZATTERA,RAFT,87.89,101.5,70.8,894,1.33,2.80,1.23,-,7
ZEBRA,ZEBRA,37.31,50.5,56.0,761,4.80,3.80,1.20,6.38,5
ZUCCA,PUMPKIN,60.05,74.5,75.2,965,4.66,5.73,1.41,6.31,5
