"Appendix B"
"Values for Conceptual Agreement (CA) and Naming Agreement (NA) for Each Item at Each Age Band"
,Age bands,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,
,> mitraglia,,0,,0,,0,,0,,0,,0,,0,,10,,10,,5,,5,,0,,5,,0,
,> mitragliatrice,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,5,,5,,15,,5,
136,MONGOLFIERA,FIRE-BALLOON,0,0,0,0,10,10,5,5,10,10,15,15,45,45,35,35,85,85,50,50,70,70,75,75,95,95,90,90
137,MORA,MULBERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,20,25,35,40,35,35,55,75,40,65
,> lampone,,0,,0,,0,,0,,0,,0,,0,,0,,5,,5,,5,,0,,20,,25,
138,MOTOSCAFO,MOTORBOAT,0,0,0,0,10,10,5,5,0,0,10,10,30,30,35,35,55,55,50,50,35,35,45,45,70,70,55,55
139,MUCCA,COW,57,57,70,70,90,90,95,95,100,100,100,100,90,90,95,95,100,100,100,100,100,100,100,100,100,100,100,100
140,MULINO,WINDMILL,0,0,0,0,15,15,0,0,10,10,25,25,40,40,50,50,80,80,60,60,80,80,90,90,100,100,100,100
141,NACCHERE,CASTANETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,10,10,10,10,20,20,25,25
142,NAVE,SHIP,0,0,0,0,15,15,25,25,40,40,35,35,45,45,65,65,80,80,85,85,75,75,50,50,70,70,90,90
143,NOCE,WALNUT,0,0,0,0,0,0,15,15,40,40,45,45,45,45,70,70,70,70,75,75,85,85,85,85,90,90,95,95
144,OCA,GOOSE,0,0,0,0,25,25,20,25,35,35,35,35,30,30,45,45,70,70,50,50,75,75,60,60,70,70,60,60
,> ochetta,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
145,OMBRELLO,UMBRELLA,77,77,93,93,85,85,95,95,100,100,95,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100
,> ombrellone,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,0,,0,
146,ORECCHINI,EARRINGS,0,0,0,0,0,0,5,5,50,50,55,55,70,70,60,60,55,55,60,60,70,70,75,75,85,85,95,95
147,ORGANO,ORGAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,5,5,5,5,40,40,40,40
148,ORSO,BEAR,17,17,33,40,80,80,80,80,80,80,90,90,95,95,100,100,90,90,100,100,100,100,100,100,100,100,100,100
,> orsettino,,0,,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
149,PANNOCCHIA,CORN,0,0,0,0,10,10,35,35,65,75,75,90,70,70,70,80,100,100,90,95,75,90,85,95,75,90,80,100
,> granoturco,,0,,0,,0,,0,,10,,15,,0,,10,,0,,5,,15,,5,,15,,20,
,> mais,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,
150,PANTALONI,PANTS,73,73,67,84,75,95,85,95,80,100,90,95,100,100,90,100,100,100,90,100,90,100,100,100,95,100,100,100
,> braghe,,0,,7,,10,,10,,15,,5,,0,,10,,0,,10,,0,,0,,0,,0,
,> braghette,,0,,7,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,> jeans,,0,,3,,0,,0,,5,,0,,0,,0,,0,,0,,10,,0,,5,,0,
151,PANTOFOLE,SLIPPERS,0,0,0,0,0,35,0,25,5,35,10,50,10,35,25,55,25,55,35,50,50,70,25,50,55,90,70,80
,> ciabatte,,0,,0,,35,,25,,30,,40,,25,,30,,30,,15,,20,,25,,35,,10,
152,PAPPAGALLO,PARROT,0,0,33,33,40,40,50,50,70,70,75,75,75,75,90,90,90,95,90,90,95,95,100,100,100,100,100,100
,> cocorita,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,
153,PAVONE,PEACOCK,0,0,0,0,0,0,25,25,25,25,25,25,40,40,35,35,50,50,35,35,75,75,70,70,90,90,90,90
154,PECORA,SHEEP,47,47,67,67,45,50,70,70,85,85,95,95,80,95,85,100,90,95,95,95,95,95,90,90,90,90,100,100
,> pecorella,,0,,0,,5,,0,,0,,0,,15,,15,,5,,0,,0,,0,,0,,0,
155,PELLICANO,PELICAN,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,20,20,20,20,30,30,50,50,35,35,35,35
156,PENNELLO,BRUSH,0,0,0,0,5,5,25,25,60,60,80,80,70,70,65,65,90,90,95,95,75,75,95,95,95,95,95,95
157,PENTOLA,POT,40,40,53,53,60,65,75,75,80,80,80,80,75,75,80,80,100,100,90,90,80,80,100,100,90,90,100,100
,> pentolino,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
158,PEPERONE,PEPPER,0,0,0,0,15,15,15,15,25,25,45,45,50,55,45,45,40,40,35,35,80,80,70,75,70,70,85,85
,> peperoncino,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,0,
159,PERA,PEAR,43,43,50,50,90,90,90,90,75,75,100,100,100,100,95,95,100,100,100,100,100,100,100,100,100,100,100,100
160,PESCA,PEACH,0,0,0,0,0,0,20,20,25,25,35,35,45,45,55,55,60,65,40,40,95,95,80,80,90,90,90,90
,> pesca-noce,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,
161,PIANOFORTE,PIANO,0,0,0,0,15,30,30,35,35,55,65,70,35,50,55,70,60,80,80,95,85,90,90,100,95,100,100,100
,> piano,,0,,0,,15,,5,,20,,5,,15,,15,,20,,15,,5,,10,,5,,0,
162,PICCHIO,WOODPECKER,0,0,0,0,0,0,5,5,5,5,10,10,5,5,45,45,40,40,45,45,95,95,80,80,90,90,100,100
163,PICCIONE,PIGEON,0,0,0,0,0,5,0,5,5,20,5,30,10,30,30,40,15,30,25,40,40,45,25,45,15,55,25,65
,> colomba,,0,,0,,5,,5,,15,,25,,20,,0,,10,,5,,0,,10,,25,,15,
,> colombo,,0,,0,,0,,0,,0,,0,,0,,10,,5,,10,,5,,10,,15,,25,
164,PIGIAMA,PAJAMAS,0,0,0,0,20,20,30,30,55,55,55,55,40,40,45,45,60,60,70,70,85,85,80,80,95,95,95,95
165,PINGUINO,PENGUIN,0,0,0,0,25,25,35,35,45,45,60,60,65,65,80,80,75,75,90,90,95,95,100,100,100,100,100,100
166,PIPA,PIPE,0,0,0,0,5,5,10,10,30,30,50,50,70,70,95,95,100,100,100,100,95,95,100,100,100,100,100,100
167,PIRAMIDE,PYRAMID,0,0,0,0,5,5,0,0,30,30,15,15,30,30,25,25,30,30,30,30,20,20,80,80,100,100,80,80
168,PISCINA,SWIMMING POOL,0,0,13,13,40,40,35,35,75,75,80,80,80,80,85,85,100,100,100,100,100,100,100,100,100,100,100,100
169,PISELLI,PEAS,0,0,0,0,25,25,30,30,55,55,55,55,60,60,70,70,85,85,80,85,85,85,100,100,75,75,90,90
,> pisellini,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,
170,PISTOLA,GUN,23,23,43,43,95,95,85,85,60,60,100,100,90,90,95,95,100,100,100,100,100,100,100,100,100,100,100,100
171,POLTRONA,ARMCHAIR,10,10,47,47,55,55,50,50,80,80,90,90,80,80,80,80,95,95,80,80,95,95,100,100,100,100,95,95
172,POMODORO,TOMATO,0,0,0,0,20,20,30,30,55,55,55,55,70,70,65,65,65,65,85,85,75,75,95,95,95,95,100,100
173,PONTE,BRIDGE,0,0,0,0,20,25,20,20,65,65,75,75,85,85,95,95,95,95,95,95,90,90,100,100,95,95,100,100
,> ponticello,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
174,PORTICO,COLONNADE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,15,15,20,20,25,30,30,45,30,60
,> arcate,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,
,> archi,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,5,,5,,20,
,> porticato,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,5,
175,POZZO,WELL,0,0,0,0,0,0,5,5,20,20,20,20,55,55,55,55,100,100,60,60,90,90,90,90,100,100,95,95
176,PUGNALE,DAGGER,0,0,0,0,0,20,5,40,5,45,15,50,0,75,15,65,25,80,30,65,40,75,40,95,50,90,40,100
,> coltellino,,0,,0,,0,,0,,5,,0,,5,,5,,5,,0,,0,,0,,0,,0,
,> coltello,,0,,0,,20,,35,,35,,35,,70,,45,,50,,35,,35,,55,,40,,60,
177,RADIO,RADIO,0,0,0,0,20,20,35,35,50,50,70,70,95,95,85,85,90,90,100,100,95,95,100,100,100,100,100,100
178,RAPA,TURNIP,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,5,5,10,10,10,10,0,5,15,15,5,5
,> barbabietola,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,
179,RASTRELLO,RAKE,0,0,0,0,15,15,15,15,40,40,45,45,55,55,65,65,80,80,75,75,50,50,65,65,80,80,100,100
180,RINOCERONTE,RHINOCEROS,0,0,0,0,35,35,50,50,65,65,85,85,90,90,85,85,90,90,90,90,80,80,100,100,95,95,95,95
181,RONDINE,SWALLOW,0,0,0,0,5,5,5,5,20,20,30,30,60,60,40,40,75,75,60,60,65,65,90,90,95,95,95,95
182,ROULOTTE,TRAILER,0,0,0,0,0,0,5,5,5,5,5,5,15,15,15,15,75,75,30,30,40,40,50,50,60,60,45,45
183,RUBINETTO,FAUCET,0,0,0,0,15,15,45,45,50,50,80,80,75,75,75,75,90,90,85,85,90,90,75,75,100,100,100,100
184,SANDALI,SANDALS,0,0,0,0,5,10,15,25,30,30,50,55,40,50,45,45,80,80,70,75,75,75,65,65,85,85,90,90
,> sandaletti,,0,,0,,0,,10,,0,,5,,10,,0,,0,,5,,0,,0,,0,,0,
,> sandalini,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
185,SASSOFONO,SAXOPHONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,25,25,20,25,25,30,35,40
,> sax,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,5,,5,
186,SCALINATA,STAIRWAY,33,36,83,83,100,100,95,95,100,100,95,100,100,100,100,100,95,95,100,100,95,100,100,100,95,100,95,95
,> scalette,,3,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,5,,0,
,> scalini,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,
187,SCARPE,SHOES,80,83,83,83,95,95,100,100,100,100,100,100,100,100,95,95,100,100,100,100,100,100,100,100,95,95,100,100
,> scarpine,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
188,SCATOLA,BOX,23,26,50,50,65,75,80,80,80,80,90,90,100,100,90,90,100,100,95,95,95,100,100,100,100,100,100,100
,> scatolino,,3,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,> scatolone,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,
189,SCIARPA,SCARF,0,0,30,30,50,50,40,40,75,75,100,100,100,100,100,100,100,100,95,95,100,100,100,100,100,100,100,100
190,SCOIATTOLO,SQUIRREL,0,0,20,20,60,60,80,80,70,70,80,80,95,95,100,100,100,100,90,90,100,100,100,100,100,100,100,100
191,SCRIVANIA,DESK,0,0,0,0,0,0,0,0,0,0,0,0,20,20,25,25,15,45,35,45,45,50,45,75,50,95,55,90
,> cattedra,,0,,0,,0,,0,,0,,0,,0,,0,,30,,10,,5,,30,,45,,35,
192,SECCHIO,BUCKET,0,0,0,0,10,15,10,30,30,45,55,90,50,80,60,90,80,95,75,95,95,100,90,100,80,100,85,100
,> secchiello,,0,,0,,5,,20,,15,,35,,30,,30,,15,,20,,5,,10,,20,,15,
193,SEDANO,CELERY,0,0,0,0,5,5,0,0,5,5,0,0,5,5,0,0,25,25,20,20,40,40,40,40,35,35,50,50
194,SEDIA ,CHAIR,97,97,93,100,90,100,100,100,100,100,100,100,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,> seggiola,,0,,7,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
195,SGABELLO,STOOL,0,0,0,0,10,10,5,5,0,0,30,30,35,40,40,40,65,70,45,45,70,70,65,65,70,70,85,85
,> sgabellino,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,0,,0,,0,,0,
196,SLITTA,SLED,0,0,0,0,10,10,35,35,45,50,70,70,70,70,65,65,70,80,70,70,85,85,85,90,90,95,70,95
,> slittino,,0,,0,,0,,0,,5,,0,,0,,0,,10,,0,,0,,5,,5,,25,
197,SOMMERGIBILE,SUBMARINE,0,0,0,0,0,0,0,0,5,15,0,5,0,0,5,35,0,25,5,25,0,40,5,60,20,70,25,100
,> sottomarino,,0,,0,,0,,0,,10,,5,,0,,30,,25,,20,,40,,55,,50,,75,
198,SPADA,SWORD,23,23,47,47,75,75,85,85,85,85,100,100,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100
199,STIVALI,BOOTS,40,40,53,60,60,65,60,60,70,70,75,75,90,90,80,80,100,100,95,95,95,95,100,100,100,100,95,95
,> stivalini,,0,,7,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
200,STRUZZO,OSTRICH,0,0,0,0,20,20,30,30,35,35,45,45,55,55,65,65,80,80,75,75,70,70,100,100,95,95,100,100
201,SVEGLIA,CLOCK,0,0,27,27,70,70,65,65,75,75,85,85,85,85,80,80,95,95,100,100,95,95,100,100,95,95,95,95
202,TAMBURO,DRUM,37,37,50,50,45,50,70,70,90,90,95,100,95,95,90,90,100,100,100,100,100,100,100,100,100,100,100,100
,> tamburello,,0,,0,,5,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,
203,TANICA,JERRY CAN,0,0,0,0,0,0,0,0,0,0,0,0,5,5,20,20,5,5,0,0,0,0,0,0,5,5,20,20
204,TAVOLO,TABLE,73,73,93,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,95
,> tavolino,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
205,TENAGLIA,PINCERS,0,0,0,0,0,10,0,10,0,35,0,35,0,30,0,40,0,60,10,40,5,40,10,70,20,60,30,65
,> pinza,,0,,0,,10,,10,,35,,30,,30,,40,,60,,30,,35,,60,,40,,35,
,> tronchesino,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,
206,TENDA,TENT,0,0,0,0,10,10,10,10,30,30,60,60,65,65,55,55,80,80,65,65,100,100,90,90,85,85,75,75
207,TIGRE,TIGER,13,13,57,57,80,80,80,80,95,95,100,100,90,90,100,100,85,85,95,95,95,95,100,100,100,100,100,100
208,TOPO,MOUSE,0,0,23,30,60,75,55,80,95,95,85,90,90,100,85,100,100,100,95,100,95,100,100,100,95,100,100,100
,> topino,,0,,0,,0,,10,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,
,> topolino,,0,,7,,15,,15,,0,,5,,10,,10,,0,,5,,5,,0,,5,,0,
209,TORRE,TOWER,0,0,0,0,10,10,15,15,25,25,35,35,35,35,60,60,85,85,65,65,85,85,95,95,100,100,95,95
210,TRAM,TRAM CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10,25,25,25,25
211,TRAPANO,DRILL,0,0,0,0,35,35,35,35,55,55,75,75,70,70,100,100,100,100,85,85,95,95,85,85,100,100,80,80
212,TRATTORE,TRACTOR,47,47,83,83,65,65,85,85,95,95,90,90,90,90,100,100,100,100,100,100,95,95,100,100,100,100,100,100
213,TRENO,TRAIN,33,33,70,70,90,90,85,85,95,95,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,95
214,TRICICLO,TRICYCLE,0,0,13,13,40,40,35,35,50,50,65,65,65,65,70,70,90,90,80,80,85,85,100,100,100,100,100,100
215,TROMBA,TRUMPET,47,47,50,53,50,55,70,70,70,75,90,95,90,100,100,100,100,100,100,100,95,95,100,100,100,100,95,100
,> trombetta,,0,,3,,5,,0,,5,,5,,10,,0,,0,,0,,0,,0,,0,,5,
216,TUCANO,TOUCAN,0,0,0,0,0,0,5,5,0,0,5,5,5,5,15,15,10,10,5,5,20,20,35,35,45,45,30,30
217,UVA,GRAPES,33,33,60,60,90,90,90,90,95,95,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100
,> grappolo ,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,
218,VESTITO,DRESS,17,17,47,47,40,40,60,60,60,60,65,65,75,80,65,65,70,75,75,75,90,90,100,100,90,90,95,100
,> abito,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,
,> vestitino,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,
219,VIOLINO,VIOLIN,0,0,0,0,5,5,0,0,5,5,10,10,15,15,30,30,20,20,30,30,20,20,35,35,40,40,35,35
220,ZAINO,BACKPACK,0,0,0,0,0,0,0,5,20,20,45,45,60,65,55,60,55,55,55,55,65,65,85,85,70,70,85,85
,> zainetto,,0,,0,,0,,5,,0,,0,,5,,5,,0,,0,,0,,0,,0,,0,
221,ZATTERA,RAFT,0,0,0,0,0,0,0,0,0,0,5,5,15,15,10,10,25,25,35,35,60,60,75,75,90,90,90,90
222,ZEBRA,ZEBRA,23,23,40,40,60,60,60,60,85,85,85,85,80,80,85,85,100,100,95,95,90,90,95,95,100,100,100,100
223,ZUCCA,PUMPKIN,0,0,0,0,20,20,40,40,60,60,50,50,55,55,70,70,85,85,60,60,95,95,85,85,100,100,85,85
