lang	subno	sex	age	typing_ability	typing_method	typing_gaze
FR	FR096	1	23	3	4	5
FR	FR097	2	28	1	3	5
FR	FR098	2	22	4	4	4
FR	FR100	1	28	2	6	4
GR	GR001	2	28	5	6	5
GR	GR002	2	21	1	4	5
GR	GR003	2	20	4	3	4
GR	GR004	2	22	3	4	4
GR	GR005	1	21	3	4	2
GR	GR006	2	20	4	6	5
GR	GR007	2	21	4	3	5
GR	GR008	2	22	2	4	3
GR	GR009	2	20	2	6	5
GR	GR010	1	20	2	3	3
GR	GR010	2	22	3	7	5
GR	GR011	2	21	5	6	5
GR	GR012	2	21	6	4	3
GR	GR013	2	21	6	4	4
GR	GR014	2	22	2	4	5
GR	GR015	2	22	2	6	3
GR	GR016	2	22	4	6	5
GR	GR017	1	22	5	7	4
GR	GR018	2	20	4	6	5
GR	GR019	2	20	3	4	4
GR	GR020	2	21	4	3	5
GR	GR021	2	21	4	4	4
GR	GR022	2	21	1	6	3
GR	GR023	2	22	3	4	4
GR	GR024	2	22	4	5	5
GR	GR025	2	21	2	6	5
GR	GR026	2	21	4	6	5
GR	GR027	2	21	2	4	5
GR	GR028	1	24	2	4	5
GR	GR029	1	23	3	6	5
GR	GR030	2	24	1	6	1
GR	GR031	2	26	2	7	5
GR	GR032	2	34	1	3	5
GR	GR033	2	23	5	4	5
GR	GR034	2	21	4	7	4
GR	GR035	2	22	1	6	5
GR	GR036	2	21	2	4	4
GR	GR037	2	22	2	5	5
GR	GR038	2	21	1	6	5
GR	GR039	2	20	4	7	5
GR	GR040	2	21	3	4	3
GR	GR041	2	22	3	3	1
GR	GR042	2	21	2	4	5
GR	GR043	1	23	4	2	4
GR	GR044	2	23	6	4	4
GR	GR045	2	22	2	6	5
GR	GR046	2	22	2	4	4
GR	GR047	1	20	4	6	5
GR	GR048	2	20	2	4	4
GR	GR049	1	21	4	4	5
GR	GR050	2	21	3	6	5
GR	GR051	1	20	5	6	3
GR	GR052	2	22	3	4	5
GR	GR053	1	22	7	3	4
GR	GR054	2	21	3	6	3
GR	GR055	2	21	4	4	5
GR	GR056	1	22	3	6	5
GR	GR057	2	26	5	6	4
GR	GR058	1	29	3	3	5
GR	GR059	1	19	4	6	1
GR	GR060	2	32	4	2	3
GR	GR061	2	39	6	6	4
GR	GR062	1	20	4	6	5
GR	GR063	1	28	2	7	4
GR	GR064	2	25	2	4	3
GR	GR065	2	27	4	6	4
GR	GR066	2	26	5	4	5
GR	GR067	1	27	4	4	4
GR	GR068	2	26	4	4	5
GR	GR069	2	30	3	7	4
GR	GR070	1	24	4	4	5
GR	GR071	2	23	3	6	3
GR	GR072	2	26	5	3	3
GR	GR073	1	20	3	7	5
GR	GR074	2	34	4	6	3
GR	GR075	2	35	4	4	4
GR	GR076	2	30	1	6	3
GR	GR077	2	35	4	4	3
GR	GR078	2	43	4	6	5
GR	GR079	1	20	3	3	5
GR	GR080	1	22	4	2	3
GR	GR081	2	22	3	4	5
GR	GR082	1	21	3	4	3
GR	GR083	2	22	4	3	5
GR	GR084	2	28	1	6	5
GR	GR085	1	24	7	1	4
GR	GR086	2	22	2	6	5
GR	GR087	2	22	4	2	3
GR	GR088	2	22	4	4	5
GR	GR089	1	22	2	6	3
GR	GR090	2	22	2	3	4
GR	GR091	2	23	1	3	5
GR	GR092	2	23	1	6	5
GR	GR093	2	25	1	2	3
GR	GR094	1	23	4	2	2
GR	GR095	1	23	3	3	4
GR	GR096	2	39	5	4	5
GR	GR097	2	22	1	6	5
GR	GR098	2	22	2	4	4
GR	GR099	2	22	3	3	5
GR	GR101	2	22	4	2	4
GR	GR102	2	23	1	6	3
IS	IS001	2	40	2	6	3
IS	IS002	2	37	3	6	1
IS	IS003	1	25	1	3	3
IS	IS004	2	41	2	6	3
IS	IS005	1	21	5	6	3
IS	IS006	2	19	1	6	3
IS	IS007	2	24	3	6	5
IS	IS008	1	21	5	4	5
IS	IS009	2	24	1	7	5
IS	IS010	2	23	3	6	1
IS	IS011	1	22	2	6	3
IS	IS012	2	25	4	6	3
IS	IS013	2	19	3	6	3
IS	IS014	1	20	4	6	5
IS	IS015	2	21	4	6	5
IS	IS016	2	34	6	7	5
IS	IS017	1	24	4	5	3
IS	IS018	1	22	2	7	1
IS	IS019	1	23	1	6	1
IS	IS020	2	34	1	6	3
IS	IS021	1	21	1	6	1
IS	IS022	1	22	3	6	1
IS	IS023	1	24	5	6	5
IS	IS024	2	24	2	6	3
IS	IS025	2	30	2	6	1
IS	IS026	1	30	4	4	5
IS	IS027	2	30	3	6	3
IS	IS028	2	52	4	6	5
IS	IS029	2	24	3	7	5
IS	IS030	1	24	7	4	4
IS	IS031	2	29	3	6	3
IS	IS032	2	31	3	6	3
IS	IS033	2	31	4	6	5
IS	IS034	2	30	6	6	5
IS	IS035	2	30	5	6	3
IS	IS036	1	25	5	6	3
IS	IS037	1	28	2	6	3
IS	IS038	2	47	4	6	5
IS	IS039	2	55	3	6	3
IS	IS040	1	45	4	6	3
IS	IS041	1	24	5	4	3
IS	IS042	2	47	3	6	3
IS	IS043	2	23	4	6	5
IS	IS044	2	71	1	6	3
IS	IS045	2	24	3	4	3
IS	IS046	1	20	2	6	1
IS	IS047	2	27	1	7	3
IS	IS048	1	26	2	6	3
IS	IS049	2	26	2	6	3
IS	IS050	2	59	1	6	1
IS	IS051	2	21	4	6	5
IS	IS052	1	24	3	6	3
IS	IS053	2	21	2	6	1
IS	IS054	1	22	2	6	3
IS	IS055	2	22	1	6	1
IS	IS056	2	37	4	6	5
IS	IS057	1	23	4	5	3
IS	IS058	2	24	2	6	5
IS	IS059	1	30	3	6	1
IS	IS060	1	30	4	6	5
IS	IS061	1	23	2	6	3
IS	IS062	2	32	1	6	3
IS	IS063	2	27	2	6	3
IS	IS064	2	25	2	6	3
