,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,,,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,,
Item,Base,Auditory Image,Visual Image,Metaphor,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,#content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,,,,Item,Literal,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,# content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,
NMA41,shout,4.20,3.10,The billboard was an outraged shout.,0.00,1217,1.00,4.10,4.95,5.15,5.50,36,6,3,5,6,497,,,,1,1.35,615,4,1.29,405,9,16.45,471,,,,,NLA41,His lawyer's objection was a shout.,0.13,1222,n/a,5.61,6.17,5.17,1.55,35,6,3,23,39,453,43,79.51,569,18,21.73,320,,,,9,16.45,471,,
NMA42,shriek,4.25,2.40,The purchase was a gleeful shriek.,0.69,1806,0.95,1.94,3.44,3.06,5.61,34,6,3,18,2,423,,,,47,6.37,412,1,0.14,375,5,0.63,481,,,,,NLA42,Her contribution was a delighted shriek.,0.75,1439,n/a,4.06,4.89,5.39,2.25,40,6,3,24,6,372,,,,37,4.37,353,29,12.94,282,5,0.63,481,,
NMA43,sigh,3.95,2.65,The letter was a lonely sigh.,0.00,1372,1.00,4.10,4.70,3.40,5.90,29,6,3,60,43,403,,,,145,82.61,577,25,41.67,253,11,3.39,380,,,,,NLA43,Her only comment was a sigh.,0.06,1233,n/a,6.50,6.61,5.17,1.80,28,6,3,600,367,319,1747,1084,218,42,12.82,360,,,,11,3.39,380,,
NMA44,sizzle,4.35,3.20,The dress was a revealing sizzle.,0.71,1659,0.95,3.40,4.30,5.85,5.70,33,6,3,33,30,472,,,,67,87.2,595,30,2.65,350,1,0.63,470,,,,,NLA44,The bacon's cooking was a sizzle.,0.50,1510,n/a,5.30,5.50,6.00,2.45,33,6,3,14,13,552,10,11.86,646,32,25.63,540,,,,1,0.63,470,,
NMA45,slurp,4.55,3.05,The man's gaze was a shameless slurp.,0.05,1723,1.00,2.06,2.00,3.06,5.89,37,7,4,305,463,445,1207,1845.75,614,12,2.53,380,0,1.9,235,0,0.43,550,,,,,NLA45,The last sip was a noisy slurp.,0.07,1438,n/a,6.00,6.25,6.10,1.70,31,7,4,171,183,417,676,723.1,299,2,5.1,525,6,5.04,293,0,0.43,550,,
NMA46,smash,3.35,3.11,The exhibition was a smash.,0.65,1238,0.95,5.39,6.78,4.22,5.44,27,5,2,13,6,414,,,,22,4.06,425,,,,4,8.25,402,,,,,NLA46,The disturbance was a smash.,0.00,1282,n/a,5.05,4.70,4.60,2.55,28,5,2,7,6,384,,,,10,3.94,365,,,,4,8.25,402,,
NMA47,snap,4.25,3.58,His mood change was an angry snap.,0.00,1211,0.79,4.56,5.11,4.50,4.56,34,7,4,84,88,334,37,34.04,234,240,240.35,306,45,58.98,375,12,17.39,420,,,,,NLA47,The applause was a hundred snaps.,0.76,1725,n/a,3.00,3.56,4.67,3.85,33,6,3,66,36,463,,,,14,11.29,550,171,78.73,419,12,17.39,420,,
NMA48,sneeze,4.75,4.21,Her arrival was an unexpected sneeze.,0.07,1556,0.79,2.39,2.39,3.28,6.39,37,6,3,16,7,367,,,,23,8.27,328,23,8.78,210,3,2.94,563,,,,,NLA48,The cold symptom was a sneeze.,0.00,1348,n/a,6.00,6.56,5.78,1.35,30,6,3,60,45,465,171,130.16,457,5,1.88,375,,,,3,2.94,563,,
NMA49,snicker,3.53,2.60,The essay was a cruel snicker.,0.00,1154,1.00,2.75,3.55,2.85,5.85,30,6,3,11,8,448,,,,19,6.14,527,15,18.35,367,0,0.29,450,,,,,NLA49,The boss's answer was a snicker.,0.00,1086,n/a,6.33,6.28,4.83,2.05,32,6,3,57,100,466,20,124.29,552,152,176.2,397,,,,0,0.29,450,,
NMA50,sniff,4.20,3.20,His interest was a mere sniff.,0.06,1285,1.00,3.10,4.45,3.40,4.80,30,6,3,126,21,335,,,,330,50.94,305,47,7.86,220,2,3.55,480,,,,,NLA50,The rabbit's twitch was a sniff.,0.13,1329,n/a,2.95,4.45,4.45,2.50,32,6,3,5,9,532,11,20.94,635,3,2.14,480,,,,2,3.55,480,,
