Appendix C																				
Word Ratings and Associated Statistics (Men Only)																				
																				
Word	Type	Letters	Syllables	K&F 	        ANEW		    Personal Use		      Familiarity		   Offensiveness		     Tabooness		        Valence		        Arousal		    Imageability	
				Freq.	Valence	Arousal	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD
vision	pos lo ar	6	2	56	6.87	4.47	4.47	1.87	5.25	1.92	1.03	0.18	1.03	0.18	5.34	0.87	1.47	1.05	3.25	2.84
wise	pos lo ar	4	1	36	7.00	4.17	4.47	2.13	5.19	2.02	1.00	0.00	1.00	0.00	7.03	1.47	2.23	2.01	2.61	2.01
wish	pos lo ar	4	1	110	6.78	5.22	5.18	1.67	5.67	1.73	1.00	0.00	1.00	0.00	6.03	1.08	2.42	1.80	2.67	2.27
ace	pos hi ar	3	1	15	7.70	6.35	4.39	1.98	4.32	2.12	1.06	0.25	1.03	0.18	6.13	1.28	2.40	1.96	5.43	3.25
admired	pos hi ar	7	3	17	7.60	6.40	4.30	1.70	5.12	1.80	1.00	0.00	1.00	0.00	6.73	1.10	2.48	2.32	2.88	2.74
adventure	pos hi ar	9	3	14	7.23	6.91	5.06	2.03	5.59	2.00	1.03	0.18	1.03	0.18	6.13	1.29	3.59	2.50	4.03	2.83
alive	pos hi ar	5	2	57	6.60	5.35	4.97	1.85	5.18	1.94	1.00	0.00	1.00	0.00	6.64	1.39	2.33	1.93	3.58	3.01
awed	pos hi ar	4	1	5	6.35	6.05	3.31	1.99	3.69	1.98	1.03	0.18	1.06	0.25	6.13	1.39	2.28	2.16	2.47	2.45
bouquet	pos hi ar	7	2	4	6.52	5.10	3.09	1.77	4.00	1.87	1.00	0.00	1.00	0.00	5.97	1.16	2.15	1.89	6.85	2.44
brave	pos hi ar	5	1	24	6.76	5.95	4.58	1.82	5.48	1.72	1.00	0.00	1.00	0.00	7.18	1.16	2.94	2.08	3.00	2.24
bride	pos hi ar	5	1	33	6.70	4.70	3.48	1.75	4.76	1.84	1.00	0.00	1.00	0.00	6.42	1.37	2.27	1.83	7.61	1.71
bright	pos hi ar	6	1	87	7.05	5.45	5.19	2.22	5.34	2.16	1.00	0.00	1.00	0.00	6.09	1.33	2.47	2.13	4.88	3.01
casino	pos hi ar	6	3	2	6.90	6.76	4.23	2.05	5.65	1.98	1.00	0.00	1.58	1.54	5.03	0.95	3.26	2.70	7.84	1.29
champ	pos hi ar	5	1	1	7.22	6.22	3.91	1.69	4.72	2.00	1.00	0.00	1.00	0.00	6.66	1.18	2.45	1.96	4.52	3.14
couple	pos hi ar	6	2	122	6.84	5.36	5.39	1.46	6.21	1.47	1.00	0.00	1.21	0.78	5.64	1.25	2.21	1.82	6.00	2.54
ecstasy	pos hi ar	7	3	6	8.14	7.82	3.21	1.82	4.52	1.94	1.12	0.42	2.30	1.81	6.00	2.06	4.18	2.07	3.67	2.75
elated	pos hi ar	6	3	3	7.47	6.20	3.75	2.38	4.06	2.00	1.00	0.00	1.00	0.00	6.81	1.36	3.25	2.44	2.97	2.38
erotic	pos hi ar	6	3	8	8.16	7.72	3.33	1.73	4.79	1.69	1.30	0.64	3.64	2.29	5.64	1.37	5.58	2.42	3.73	2.72
excitement	pos hi ar	10	3	32	6.87	6.93	5.19	1.86	5.72	1.78	1.00	0.00	1.00	0.00	6.81	1.18	3.91	2.56	3.03	2.02
exercise	pos hi ar	8	3	58	6.93	7.13	6.16	2.00	6.53	1.69	1.00	0.00	1.00	0.00	6.19	1.06	3.16	2.29	4.94	2.64
fame	pos hi ar	4	1	18	7.92	5.17	4.00	1.89	6.06	2.02	1.00	0.00	1.03	0.17	6.21	1.56	3.21	2.52	3.64	2.94
flirt	pos hi ar	5	1	1	7.48	6.90	5.33	1.78	6.55	1.89	1.12	0.42	1.73	1.42	5.36	1.22	4.24	2.82	3.52	2.51
food	pos hi ar	4	1	147	7.88	5.40	7.56	1.97	7.66	1.89	1.00	0.00	1.03	0.18	6.41	1.74	3.91	3.15	7.69	1.96
gift	pos hi ar	4	1	33	6.60	5.27	5.24	1.79	6.00	1.98	1.00	0.00	1.00	0.00	6.45	1.39	2.88	1.90	6.94	2.21
gold	pos hi ar	4	1	52	7.92	6.45	4.33	1.73	5.21	1.85	1.00	0.00	1.00	0.00	6.36	1.30	3.12	2.45	7.64	1.64
heaven	pos hi ar	6	2	43	7.07	6.53	5.58	2.29	6.26	2.13	1.00	0.00	1.32	0.79	7.97	1.52	4.61	2.94	4.84	2.85
hopeful	pos hi ar	7	2	12	7.07	6.27	5.32	1.97	5.58	1.98	1.00	0.00	1.00	0.00	6.94	1.18	2.42	2.16	2.10	1.96
intercourse	pos hi ar	11	3	9	7.70	7.35	3.58	2.09	4.82	2.17	1.39	0.79	3.64	2.06	5.97	1.53	5.67	2.61	6.33	2.63
joke	pos hi ar	4	1	22	8.19	6.67	6.59	2.05	6.41	2.00	1.13	0.71	1.16	0.88	6.13	1.34	3.00	2.42	2.28	2.19
joyful	pos hi ar	6	2	1	7.57	6.36	4.09	2.13	5.18	1.91	1.00	0.00	1.03	0.17	7.39	1.50	3.82	2.59	3.36	2.58
liberty	pos hi ar	7	3	46	7.67	5.92	3.58	1.90	5.27	1.88	1.03	0.17	1.09	0.38	7.24	1.42	2.94	2.02	2.85	2.56
lively	pos hi ar	6	2	26	6.89	5.47	4.18	1.78	4.70	1.67	1.03	0.17	1.27	1.10	6.30	1.53	2.73	2.16	3.55	2.33
loved	pos hi ar	5	1	56	8.10	5.50	6.15	1.64	6.85	1.44	1.00	0.00	1.06	0.35	7.73	1.51	4.48	2.53	3.15	2.48
lust	pos hi ar	4	1	5	7.32	6.92	3.52	1.82	4.97	1.72	1.15	0.44	2.42	1.79	4.09	1.63	4.03	2.24	3.18	2.38
muscular	pos hi ar	8	3	16	6.08	5.92	4.91	2.08	5.85	2.14	1.03	0.17	1.06	0.24	6.48	1.50	3.79	2.36	6.91	2.16
nude	pos hi ar	4	1	20	7.80	7.12	4.09	1.69	5.25	1.67	1.16	0.45	3.00	1.87	4.75	1.05	5.50	2.40	6.16	2.74
profit	pos hi ar	6	2	28	7.80	7.40	4.88	2.03	5.82	2.11	1.00	0.00	1.06	0.24	6.30	1.38	2.67	2.20	3.00	2.81
quick	pos hi ar	5	1	68	6.70	6.65	5.61	2.11	5.97	2.09	1.03	0.18	1.00	0.00	5.68	0.91	2.06	2.00	2.90	2.33
riches	pos hi ar	6	2	2	7.47	6.50	3.67	1.61	4.91	1.79	1.00	0.00	1.00	0.00	6.33	1.34	2.67	2.22	5.12	2.86
savior	pos hi ar	6	2	6	7.73	5.87	4.00	2.30	4.94	2.27	1.10	0.40	1.45	1.39	6.87	1.54	3.71	2.57	4.65	2.74
snow	pos hi ar	4	1	59	6.88	5.36	4.87	2.16	5.68	1.90	1.00	0.00	1.00	0.00	5.87	1.15	3.10	2.40	8.16	1.37
song	pos hi ar	4	1	70	6.38	5.38	6.33	2.10	6.67	1.78	1.00	0.00	1.00	0.00	5.82	1.61	2.64	1.75	3.24	2.67
star	pos hi ar	4	1	25	7.33	6.00	4.94	2.05	6.00	1.69	1.00	0.00	1.06	0.25	5.91	1.23	2.25	1.65	7.19	2.26
