unigram	unigram_freq
kar	27
verloof	27
gebly	27
ondersoek	27
duits	27
span	27
diens	27
skoonheid	27
wells	27
vorm	27
nevers	27
gas	27
materiaal	27
papa	27
ncis	27
miljoen	27
lot	27
gelos	26
les	26
gevaarlik	26
piramide	26
skilderye	26
klere	26
baron	26
dankbaar	26
gevang	26
weermag	26
tevrede	26
kennis	26
geboorte	26
30	26
straf	26
menslike	26
voorheen	26
tee	26
vinniger	26
moed	26
siekte	26
gang	26
maman	26
toestand	26
briewe	26
derde	26
tv	26
talent	26
nooi	26
ewig	26
gryp	26
lisa	26
mej	25
beledig	25
abby	25
vera	25
marianne	25
oorleef	25
bome	25
kantoor	25
diere	25
genade	25
gisteraand	25
klim	25
swem	25
beskou	25
torgny	25
geskenk	25
soldaat	25
toelaat	25
deesdae	25
oorlede	25
neer	25
harte	25
horlosie	25
posisie	25
sny	25
gewen	25
lewer	25
ontploffing	25
skei	25
verstand	25
gehelp	25
soldate	25
ddr	25
rook	25
totdat	25
rukkie	25
steur	25
weens	24
vars	24
vloot	24
vyand	24
selfmoord	24
beslis	24
wapens	24
tree	24
mammie	24
ok	24
volle	24
derville	24
bom	24
middel	24
normaal	24
sukses	24
000	24
koets	24
verlang	24
yster	24
geken	24
mees	24
koerant	24
kuier	24
100	24
wet	24
toets	24
twak	24
vaar	24
rondom	24
maria	24
geraak	24
admiraal	24
gedra	24
ring	24
laai	24
jode	24
st	24
haastig	24
somer	24
rot	24
hierheen	24
kuns	24
voete	23
veroorsaak	23
lys	23
beheer	23
kalmeer	23
dreyman	23
koue	23
reguit	23
militêre	23
eerlik	23
berge	23
fuhrer	23
inligting	23
ouderdom	23
jongman	23
lollo	23
reël	23
mooier	23
nadat	23
kanonne	23
skat	23
solank	23
komaan	23
d	23
terugkeer	23
beleef	23
bekend	23
mark	23
dogters	23
links	23
sersant	23
verklaar	23
verhouding	23
bevele	23
alhoewel	23
verbaas	23
verkeerde	23
toegelaat	23
ewige	23
swede	23
sülzheimer	23
hotel	23
noudat	23
skaars	23
toneel	23
verskriklik	23
verras	23
verskeie	23
gekies	22
kaart	22
waarmee	22
groet	22
werkers	22
skree	22
oordeel	22
keuse	22
spoor	22
skaam	22
bederf	22
giesecke	22
andrassy	22
pous	22
gevat	22
oog	22
mooiste	22
oopmaak	22
vuil	22
stryd	22
taak	22
kraemer	22
glas	22
helder	22
nes	22
kombuis	22
perfek	22
eboshi	22
her	22
bus	22
half	22
partymaal	22
ridder	22
offisier	22
wonderlike	22
gawe	22
mors	22
vorentoe	22
gered	22
winter	22
ischl	22
ooste	21
verantwoordelik	21
skoene	21
beurt	21
middag	21
hanteer	21
wraak	21
vis	21
foon	21
regs	21
verbeel	21
gaudinier	21
varke	21
maat	21
vrolike	21
respek	21
teater	21
neus	21
verskuif	21
verhoor	21
sag	21
ontslae	21
oulik	21
kêrel	21
moment	21
renaud	21
studeer	21
deurmekaar	21
lente	21
groep	21
duisende	21
pole	21
aankom	21
geliefde	21
besigheid	21
gelei	21
ferraud	21
hongaarse	21
eisenstein	21
veiligheid	21
moord	21
krypton	21
kamerade	21
sagte	21
inkom	21
sommige	21
cis	21
skande	21
tromp	21
brood	21
skone	21
mateusz	20
maxence	20
grens	20
weste	20
rotte	20
hertogin	20
netsoos	20
bewonder	20
bestuur	20
opgemerk	20
lazlo	20
êrens	20
moordenaar	20
gekoop	20
bymekaar	20
elisabeth	20
parsa	20
beweer	20
onnosel	20
sara	20
gat	20
seuntjie	20
bedrieg	20
edele	20
natuur	20
heerlik	20
monster	20
that	20
vloek	20
mcbride	20
waag	20
betrokke	20
let	20
troue	20
huur	20
gestraf	20
sekretaris	20
ekstra	20
oefen	20
lied	20
gemis	20
dien	20
we	20
ludwig	20
saamgebring	20
lyding	20
tweede	20
marco	20
besit	20
lewendig	20
genees	20
slegs	19
susters	19
enigeen	19
johnny	19
stukkie	19
bewaar	19
taal	19
afskeid	19
open	19
vorige	19
for	19
voorberei	19
ingaan	19
honde	19
slagoffer	19
tydens	19
skade	19
zod	19
fritz	19
boord	19
plig	19
belangrike	19
minuut	19
theo	19
buurt	19
hieroor	19
geglo	19
jaloers	19
michiel	19
koor	19
bene	19
voet	19
bediende	19
nek	19
perde	19
gonzague	19
herinner	19
gestel	19
woede	19
mike	19
gees	19
satan	19
voorgestel	19
herstel	19
dominique	19
fortuin	19
lieg	19
tosia	19
gewoond	19
danksy	19
skep	19
skuldig	18
gesterf	18
ontsnap	18
lagardère	18
naand	18
rachin	18
6de	18
ooreenkoms	18
sigismund	18
rose	18
even	18
dop	18
radio	18
totale	18
verbied	18
maniere	18
seisoen	18
vermoed	18
reëls	18
dak	18
valse	18
aap	18
victor	18
kleintjie	18
end	18
beulwitz	18
vernietig	18
floryne	18
gevoelens	18
tien	18
persoonlik	18
guns	18
berg	18
kal	18
dierbare	18
groei	18
voëls	18
loopbaan	18
hauser	18
bose	18
hallo	18
witt	18
aanbied	18
spyt	18
vervul	18
huta	18
nowa	18
vloer	18
waaraan	18
wimschneider	18
gewag	18
jas	18
getrou	18
sekondes	18
omgee	18
kruis	18
lengefeld	18
artikel	18
durf	18
faktotum	18
viool	18
kerk	18
waarsku	18
gedurende	18
regering	18
genooi	18
lady	18
helene	18
la	18
harde	18
christa	18
nêrens	18
lyn	18
wapen	18
tye	18
rekenaar	17
geleef	17
ergste	17
merk	17
brug	17
pla	17
bennie	17
verskyn	17
interessant	17
wonders	17
ouens	17
gesluit	17
elikser	17
kafee	17
las	17
veronderstel	17
telefoon	17
pret	17
frans	17
hiermee	17
reken	17
codex	17
herhaal	17
ontslaan	17
uitgenooi	17
verraai	17
vertroue	17
stasie	17
luit	17
sak	17
opleiding	17
sleutel	17
gelukkige	17
wille	17
aanvalle	17
wes	17
bepaal	17
kook	17
teruggekom	17
paul	17
skyn	17
vincent	17
getuies	17
helfte	17
uitkom	17
el	17
alfred	17
liefste	17
kunstenaar	17
beland	17
omstandighede	17
verwerp	17
sjampanje	17
mr	17
vakansie	17
mendez	17
had	17
kelder	17
voordeel	17
vrye	17
pasop	17
verslag	17
verlof	17
dog	16
troepe	16
snaakse	16
lessenaar	16
bestuurder	16
sterre	16
gehoorsaam	16
wagte	16
gebied	16
ida	16
engel	16
sodra	16
gerus	16
waardeer	16
rivier	16
wayne	16
line	16
reën	16
hoofkelner	16
roman	16
bevrees	16
christus	16
gedrink	16
verantwoordelikheid	16
respekteer	16
verhoog	16
rekening	16
engels	16
borin	16
aangenaam	16
vrot	16
aanhou	16
reuse	16
renée	16
papier	16
barones	16
dringend	16
liefgehad	16
geroep	16
planne	16
rössl	16
dooies	16
1000	16
berou	16
spandeer	16
poolse	16
wisse	16
smaak	16
silwer	16
béthune	16
misdaad	16
spring	16
200	16
9	16
steel	16
been	16
boot	16
liefling	16
byt	16
waarin	16
kamers	16
onthaal	16
huise	16
c	16
dors	16
vriendin	16
vriendskap	16
voortgaan	16
opgewonde	16
rusland	16
gery	16
saggies	16
oorwinning	16
joseph	16
vermaak	16
universiteit	16
jongmense	16
skrik	16
verwoes	16
gehoop	16
waarop	15
blind	15
wegneem	15
kol	15
dogtertjie	15
beskryf	15
charles	15
verwelkom	15
ontken	15
wa	15
ontsteld	15
minstens	15
tolik	15
eiendom	15
uitgaan	15
politiek	15
foute	15
vaderland	15
hemelse	15
eienaar	15
oefening	15
kruip	15
heet	15
holland	15
friedrich	15
wegkom	15
kalm	15
gunsteling	15
dollar	15
soontoe	15
skoonmaak	15
streng	15
17	15
adelheid	15
betref	15
geskiet	15
cityline	15
geloop	15
pes	15
ontstaan	15
50	15
geleentheid	15
bedien	15
vent	15
on	15
september	15
ore	15
uitstekende	15
oorsaak	15
ookal	15
meter	15
have	15
verheug	15
forseer	15
girolamo	15
e	15
di	15
dokters	15
titus	15
verjaardag	15
dorpie	15
hoek	15
lae	15
uself	15
böse	15
regent	15
bank	15
openbaar	15
gelaat	15
werker	15
niggie	15
verlowing	15
vandaan	15
gestop	15
ontspan	15
louis	15
besorg	15
13	15
40	15
gesin	15
sekere	15
gratis	15
wense	15
toon	15
hoër	15
lande	14
vanoggend	14
elders	14
teiken	14
egskeiding	14
clark	14
bars	14
persoonlike	14
groen	14
hierna	14
redes	14
bewyse	14
keiserlike	14
duitsers	14
mallefille	14
stof	14
vervelig	14
geskilder	14
waarna	14
sewe	14
nè	14
helaas	14
vleis	14
der	14
hebner	14
pierre	14
marv	14
dawid	14
kla	14
verneder	14
axel	14
tande	14
engeland	14
kollega	14
anja	14
films	14
pepinot	14
gesprek	14
genl	14
reaksie	14
platteland	14
soiets	14
oppas	14
bravo	14
magtig	14
she	14
belofte	14
seermaak	14
knyp	14
le	14
regkry	14
belaglik	14
vyande	14
koninklike	14
blom	14
hoë	14
weeshuis	14
sonde	14
oggend	14
bekostig	14
skuldige	14
skakel	14
amerika	14
baptiste	14
absoluut	14
eis	14
borgen	14
tensy	14
tevore	14
mensdom	14
hoedat	14
11	14
vsa	14
lankal	14
klärchen	14
operasie	14
president	14
poland	14
netnou	14
adina	14
betyds	14
leeg	14
skrywer	14
eiers	14
daarby	14
magtige	14
borgensgaard	14
fabriek	14
nuut	14
rof	14
ontstel	14
makliker	14
personeel	14
hitte	14
david	14
oos	14
lewens	14
regeer	14
oktober	14
beskawing	14
adolf	14
verbind	14
perfekte	14
verskil	14
adele	13
skildery	13
kamera	13
geselskap	13
brandmeier	13
versamel	13
mondain	13
verveeld	13
egte	13
freimuth	13
josepha	13
raad	13
olga	13
ene	13
hoera	13
binnelandse	13
jena	13
geteken	13
titel	13
doodgemaak	13
agente	13
bavaria	13
goeiedag	13
gereël	13
hoer	13
lui	13
warskou	13
jeug	13
belangrikste	13
skreeu	13
boy	13
kaal	13
beroof	13
ruil	13
lof	13
stories	13
verduur	13
olivier	13
boggelrug	13
tipe	13
dapper	13
segerstedt	13
euh	13
troos	13
risiko	13
onmiddelik	13
gelieg	13
letters	13
direk	13
motor	13
slaag	13
vandat	13
hiervoor	13
