			                                                                     DIistinctiveness				                                                      Consequentiality				                                Memorability			                                Surprise			                              Meaningfulness			                                Familiarity		
pancakes		7286		3.26		1.8		3.23		2.06	2.7		1.9	1.88		1.24	3.07		2.14	5.84		2.03
food    		7289		3.28		2.25		3.6		2.22	2.56		2.08	1.88		1.36	3.56		2.29	6.04		2.23
desserts		7320		3.4		2.29		2.52		1.64	2.48		1.98	2.44		2.29	3		2.25	5.32		2.69
watermel		7325		4		2.22		4.83		2.57	4		2.45	2.42		1.72	5.13		2.71	6.42		2.39
icecream		7330		3.56		1.66		4.56		2.29	4.12		2.33	3.56		1.8	4.32		2.34	6.28		1.62
icecream		7340		3.49		2.1		4.72		2.47	3.51		2.23	2.59		1.89	4.08		2.46	7.31		1.87
pizza   		7350		3.43		2.65		4.08		2.32	2.95		2.23	2.6		2.01	3.6		2.16	7.58		2.14
pizza   		7351		3.96		2.39		3.32		2.06	2.84		1.91	2.44		1.53	2.56		1.8	5.56		2.92
pizza   		7352		3.32		2.31		3.32		2.29	2.78		1.95	2.96		2.29	3.18		2.3	6.11		2.94
fliespie		7360		4.56		2.57		3.4		2.4	3.56		2.06	4.56		2.42	3.67		2.58	3.24		1.92
meat sli		7361		5.04		2.28		3		1.85	4.04		2.41	4.48		2.43	2.88		1.54	3.44		2.4
roach on		7380		5.04		1.99		3.76		1.92	4.42		1.84	5.38		2.3	3		1.52	2.81		1.36
icecream		7390		4		2.84		4.43		2.14	4.18		2.63	3.08		2.15	4.73		2.06	5.68		2.79
candy   		7400		3.33		2.65		4		2.7	2.95		2.22	2.15		1.61	3.08		2.1	7.25		1.9
pastry  		7402		3.88		2.26		4.28		2.3	3.78		2.3	2.65		1.78	4.13		2.52	5.7		2.14
candy   		7410		2.81		2.47		3.08		2.37	2.65		2.15	1.92		1.26	2.46		1.7	7.31		1.46
candy   		7430		2.48		2.09		3.13		2.07	2.7		2.1	1.91		1.73	3		2.02	6.83		2.55
cheesebu		7450		2.54		2.4		3.64		2.25	3.08		2.55	2		1.68	3.88		2.13	8.32		1.03
frenchfr		7460		2.81		2.61		3.38		1.16	2.85		1.8	1.88		1.18	3.23		2.08	7.88		1.48
pancakes		7470		3.37		2.54		4.03		2.28	3.05		2.29	2.64		1.72	3.95		2.25	6.92		2.06
shrimp  		7475		4.35		2.03		3.83		2.34	3.28		2.44	3.48		2.23	3.72		2.35	5.38		2.6
pasta   		7480		4		2.65		4.56		2.52	3.95		2.74	2.9		2.12	4.51		2.6	6.9		2.14
food    		7481		4.35		2.23		3.95		2.31	4.38		2.63	3.08		2.08	4.77		2.61	5.21		2.41
window  		7490		5.22		2.45		2.59		1.53	3		1.62	3.15		1.81	2.81		1.75	3.15		1.78
building		7491		3.33		2		2.73		2.25	2.3		1.7	2.63		2.1	2.6		2.18	5.31		2.6
store   		7495		3.38		2.14		2.66		1.82	2.72		1.89	1.97		1.18	2.66		1.98	5.91		2.21
street  		7496		3.87		2.43		3.13		2.28	3.42		2.41	2.84		1.78	3.66		2.37	4.87		2.08
building		7500		2.97		2.3		1.94		1.59	2.21		2	2.07		1.72	2.04		1.56	5.69		2.85
city    		7501		5.1		2.57		4.13		2.37	5.23		2.41	3.48		2.04	4.78		2.28	5.05		2.05
castle  		7502		4.73		2.31		5.17		2.34	5.05		2.46	5.78		2.88	4.15		2.16	6.2		2.2
carddeal		7503		3.07		2.07		3.49		2.3	3.32		2.33	2.93		2.14	2.61		1.84	3.32		2.42
skyscrap		7510		3.28		2.54		3		2.02	2.8		2.25	2.56		1.64	3.52		2.28	6.24		2.3
ocean   		7545		5.6		2.35		5.1		2.23	5.41		2.35	3.43		1.99	5.88		2.21	2.23		2.11
office  		7550		1.96		1.64		2.35		1.85	1.73		1.43	1.54		0.99	2.35		1.77	6.73		2.51
freeway 		7560		2.72		1.99		3.12		2.2	2.38		1.72	2.29		1.53	2.81		1.87	6.65		2.06
 skyline		7570		5		2.57		5.16		2.41	5.92		2.59	3.24		2.25	5.71		2.37	6.08		2.48
desert  		7580		5.56		2.62		3.84		2.64	4.92		2.74	3.92		2.12	4.36		2.94	3.42		2.22
traffic 		7590		3.18		2.38		3.13		2.05	2.82		2.01	2.2		1.45	3.31		2.37	6.38		2.6
traffic 		7595		2.12		1.81		2.32		1.65	1.56		0.92	1.36		0.64	2.48		1.76	7.72		1.81
dragon  		7600		5.75		2.24		3.28		1.89	4.44		1.93	4.25		1.93	3.28		1.73	4.09		2.02
jet     		7620		2.59		1.89		3.19		2.15	2.85		2.11	1.81		1.3	3.48		2.28	6.15		2.05
skyscrap		7640		5.5		1.8		3.89		2.29	4		1.97	4.79		2.04	3.82		2.09	3.55		2.02
office  		7700		2.74		1.71		2.3		2.14	1.78		1.59	1.83		1.3	2.09		1.88	5.35		2.04
cabinet 		7705		2		1.55		2		1.47	1.88		1.36	1.8		1.38	1.72		1.17	5.48		2.92
bed     		7710		3.62		2.13		3.27		2.27	2.69		1.96	2.67		1.72	3.94		2.5	5.45		2.3
agate   		7820		5.63		2.95		2.05		1.47	2.72		2.18	3.46		2.49	1.87		1.38	1.95		1.85
agate   		7830		4.35		2.79		2.18		1.84	2.45		2.34	2.73		2.31	2.38		2.23	3.63		2.87
violin  		7900		3.48		2.22		2.32		2.17	2.04		1.51	1.68		1.22	2.4		1.8	4.68		2.14
carcrash		7920		5.16		2.64		4.52		2.52	4.6		2.72	3.92		2.23	4.56		2.52	5.68		2.15
tissue  		7950		2.25		2.2		3.1		2.35	2.2		2.13	1.85		1.48	2.78		2.45	6.89		2.75
runner  		8010		3.88		2.66		3.1		2.47	3.13		2.23	3		2.17	3.05		2.3	4.58		2.64
skier   		8021		4.59		2.21		3.21		2.31	2.76		1.99	2.76		1.94	3.83		2.44	5.69		2.33
skier   		8030		4.56		2.18		3.68		1.93	3.72		2.37	2.8		2.04	3.8		1.98	4.72		2.54
skier   		8031		4.04		2.01		3		1.87	2.88		1.83	2.8		1.73	3.48		2.06	5.44		1.92
iceskate		8032		3.76		2.13		2.52		1.69	2.4		1.61	2.16		1.18	2.84		2.01	6.12		2.45
iceskate		8033		4.47		2.37		3.24		2.26	4		2.48	3.16		1.84	3.97		2.51	5.32		2.54
skier   		8034		3.98		2.3		4.23		2.56	3.7		2.49	2.78		1.82	4.23		2.26	6.35		2.02
diver   		8040		5.22		1.84		3.03		1.99	3.41		2.27	3.75		2.24	3.53		2.03	3.63		1.81
diver   		8041		4.52		2.31		3.28		2.49	4.16		2.43	3.44		2.26	4.16		2.48	4.84		2.13
rower   		8050		4.34		1.71		3.68		2.24	3.29		1.94	2.88		1.67	4.02		2.26	4.22		2.38
boxer   		8060		3.65		2.25		3.3		2.47	3.53		2.89	2.88		2.08	3.38		2.47	5.01		2.49
sailing 		8080		6.23		2.15		3.48		2.08	4.5		2.35	5.2		2.2	3.2		2.09	3.31		2.09
gymnast 		8090		4.29		2.48		3.29		2.16	3.71		2.53	3.25		2.23	3.46		2.06	5.21		2.32
football		8116		2.46		1.68		4.31		2.6	3.38		2.14	2.42		1.7	3.96		2.39	7.08		2.26
Hockey  		8117		3.48		2.66		3.72		2.84	3.88		2.51	3.08		2.43	4.12		2.86	6.08		2.08
athlete 		8120		3.47		1.94		3.42		1.99	3.35		1.91	2.3		1.3	3.72		2.19	5.44		2.11
polevaul		8130		5.24		2.2		3.78		2.36	4.29		2.42	3.78		1.82	4.27		2.42	4		2.21
rockclim		8160		5.75		2.63		2.83		1.91	3.86		2.28	4.72		2.42	2.93		2.12	3.1		2.09
hanglide		8161		5.11		1.5		3.68		1.8	3.58		1.83	3.53		1.72	3.97		2.05	4.37		1.89
hotairba		8162		5.46		2.02		3.85		2.39	4.19		2.55	3.15		1.83	4.15		2.19	3.88		2.25
sailboat		8170		4.68		2.06		4.8		2.27	4.6		2.22	3.12		2.05	5.12		2.35	5.08		2.18
cliffdiv		8180		5.96		2.06		3.03		1.84	3.97		2.32	4.93		2.55	3.72		2.3	2.97		1.8
skydiver		8185		5.14		2.36		2.9		2.27	3.31		2.45	3.55		2.23	3.41		2.23	3.52		2.52
skier   		8190		4.48		2.12		4.04		2.36	3.67		2.4	2.78		1.5	4.67		2.53	4.93		2.35
waterski		8200		3.96		1.7		3.96		2.07	3.52		2.12	2.76		1.48	3.72		1.97	5.64		2.08
boat    		8210		4.56		1.98		3.52		2.22	3.4		2.02	3.24		1.88	4		2.22	5.36		2.22
runners 		8220		4.31		2.5		3.97		2.33	3.33		2.26	2.54		1.71	4.15		2.72	6.36		2.02
boxer   		8230		5.44		2.38		3.4		2.24	4.92		2.41	5.16		2.62	4.28		2.48	3.24		1.79
boxer   		8231		4.59		1.78		2.69		1.69	3.75		2	3.88		1.77	3.44		2	4.28		1.99
boxer   		8232		3.96		2.35		2.83		1.93	3.29		2.2	2.58		1.74	3.08		2.1	5.58		2.15
motorcyc		8250		4.28		2.03		4.16		1.91	3.88		2.39	2.64		1.96	3.32		2.32	4.64		1.8
motorcyc		8260		3.68		2.46		2.6		2.2	2.6		1.94	1.68		0.85	2.79		2.21	5.08		2.23
diver   		8280		4.05		2.38		3.2		2.47	3.15		2.43	2.98		1.95	3.83		2.49	5.3		2.5
pilot   		8300		4.32		3.03		2.85		2.05	3.31		2.43	3.81		2.62	3		2.23	4.48		3.37
golfer  		8311		3.34		2.13		3.21		2.29	3.03		2.18	2.1		1.52	3.66		2.47	5.86		2.69
carracer		8320		3.51		2.13		2.39		1.98	2.43		2	2.64		1.72	2.69		2.28	4.24		2.42
athletes		8330		3.44		2.08		2.72		1.86	2.32		1.46	2.16		1.34	3.08		2.08	4.08		2.33
planw   		8340		4.65		2.44		3.26		1.79	3.48		2.11	2.87		1.66	3.43		2.02	4.13		2.2
tennispl		8350		3.96		2.03		3.52		2.69	3.32		2.14	2.52		1.56	3.96		2.19	6.64		2.06
rafting 		8370		4.73		1.91		4.23		1.95	4.04		2.24	3.46		2.2	4.5		1.77	5.04		1.91
athletes		8380		4.24		2.05		3.92		2.29	3.78		2.19	2.64		1.75	5.21		2.6	5.32		2.17
rafters 		8400		4.31		1.93		3.64		1.96	3.96		2.09	2.92		1.83	4.12		2.18	4.5		2.32
tubing  		8420		4.08		1.77		5		2.14	5.19		2.65	3.42		2.1	5.12		2.47	6.31		1.54
runner  		8460		4.05		2.29		4.17		2.28	3.15		1.85	2.49		1.73	4.1		2.4	5.98		2.45
happytee		8461		3.48		2.66		3.72		2.84	3.88		2.51	3.08		2.43	4.12		2.86	6.08		2.08
runner  		8465		4.62		1.83		3.46		2.04	4.08		2.1	3.27		1.78	3.73		2.18	4.04		2.37
gymnast 		8470		6.32		1.89		4.48		2.74	6.04		2.3	3.32		2.28	6.04		2.28	4.83		2.35
bikeronf		8480		7.24		2.21		3.96		2.29	6.2		2.31	7.24		1.72	4.16		2.31	1.79		1.34
rollcoas		8490		3.93		2.27		5.03		2.42	5.05		2.75	3.73		2.25	5.25		2.46	6.88		1.95
watersli		8496		4.93		2.37		5.15		2.27	5.07		2.67	3.22		1.69	5.56		2.21	6.07		1.86
carnirid		8497		3.97		2.3		4.36		2.51	3.74		2.37	2.33		1.38	4.74		2.56	5.62		2.35
gold    		8500		5.36		2.72		3.88		2.57	3.56		2.83	3.88		2.59	4.08		2.78	1.84		1.11
money   		8501		4.81		2.17		5.42		2.53	4.58		2.66	4.46		2.76	5.5		2.49	3.96		2.66
money   		8502		6.02		2.29		6.2		2.09	4.86		2.77	4.88		2.38	5.61		2.43	4.2		2.58
money   		8503		4.59		2.07		5.04		2.61	3.74		2.31	3.63		1.9	4.82		2.51	4.29		2.26
sportcar		8510		4.68		2.23		3.56		2.24	3.64		2.14	2.24		1.36	3.52		2.1	4.84		1.79
sportcar		8531		5.28		2.26		3.52		1.81	3.6		1.98	2.76		1.96	3.64		2	5.84		1.93
sthltes 		8540		4.28		2.19		3.64		2.46	4.6		2.25	2.72		1.79	4.83		2.55	5.36		2.45
mascot  		8600		3.19		2.08		3.31		2.29	2.77		1.86	2.77		2.07	3.12		2.01	6.65		1.98
cemetery		9000		5.64		2.2		6		2.33	6.72		1.99	4.72		1.77	6.52		2.26	4.8		2.47
cemetary		9001		3.72		2.49		6.8		1.53	6.28		2.05	3.6		1.87	6.96		1.77	6.96		1.93
hivtatto		9005		6.84		2.21		4.64		2.18	5.48		2.28	6.96		1.88	5.64		1.75	1.88		1.67
tatoo   		9006		6.49		1.99		5.24		2.59	6.2		2.33	5.78		2.34	6.3		1.9	2.9		2.24
needles 		9007		6.38		2.45		3.5		2.57	5.6		2.37	6.53		2.1	4.23		2.55	1.85		1.46
needle  		9008		5.74		2.79		1.95		1.81	3.98		2.6	6.42		2.1	2.07		1.7	2.49		2.21
barbedwi		9010		4.28		1.9		2.68		2.08	3.04		2.07	2.36		1.47	3.32		2.44	3.92		2.16
starvchi		9040		7.04		1.77		5.08		2.72	6.28		2.11	6.44		1.73	6.12		2.22	2.4		1.47
scaredch		9041		4.42		2.22		4.64		2.22	3.44		2.26	3.2		1.63	4.76		2.42	4.48		2.06
stickthr		9042		7.78		1.44		2.83		1.7	6.61		2.15	7.27		1.39	2.87		2.44	1.74		1.25
lady/don		9045		6.38		2.64		3.3		2.29	5.48		2.29	6.28		2.54	4.1		2.6	2.5		2.2
family  		9046		5.68		1.93		4.84		2.43	5.05		2.28	3.76		1.74	5		2.3	3.87		2.22
plancras		9050		6.33		2.21		5.5		2.25	6.8		1.71	6.13		2.2	5.85		1.65	3.28		2.25
boy     		9070		4.83		1.98		4.38		2.16	4.66		2.3	3.24		1.57	5.39		2.1	4.76		2.21
wires   		9080		4.42		2.69		2.5		1.7	2.65		1.96	3.12		2.36	2.62		1.83	3.69		2.38
exhaust 		9090		3.12		2.2		4		2.58	2.4		2.31	2.88		2.4	3.48		2.43	5.88		2.68
cocaine 		9101		4.6		2.57		3.48		2.28	3.84		2.46	3.6		2.29	3.6		2.33	3.84		2.41
heroin  		9102		4.28		2.07		3.91		2.25	4		2.2	4.72		2.35	3.97		1.82	4.41		2.11
puddle  		9110		4.96		1.88		4.72		2.56	3.56		1.69	3.84		1.8	4.92		2.08	4.04		2.47
oilfires		9120		5.24		2.42		4.52		2.4	4.76		2.11	4.64		2.04	4.88		2.4	2.54		2.04
cow     		9140		5.27		1.78		4.5		2.14	5.15		2.2	5.12		2.18	4.96		1.82	3.12		1.7
place   		9156		5.23		2.52		4.32		2.57	4.48		2.29	3.73		1.86	4.41		2.2	3.86		2.08
soldier 		9160		4.64		2.12		4.44		2.45	4.88		2.24	3.6		2.1	5.88		2.65	3.92		2.23
seao    		9180		5.45		2.11		5.22		2.49	5.43		2.27	4.57		2.13	5.13		2.36	3.09		1.78
deadcows		9181		5.84		2.61		4.4		2.74	5.92		2.64	6.4		2.38	5.29		2.48	2.4		1.91
horses  		9182		6.32		1.89		4.48		2.74	6.04		2.3	3.32		2.08	6.04		2.28	4.83		2.35
woman   		9190		4.8		2.12		3		2.1	3.76		2.28	3		1.87	3.64		2.08	3.24		2.03
rain    		9210		3.63		2.08		3.3		1.95	2.98		2.18	2.84		1.74	3.37		2.07	5.05		2.32
cemetery		9220		4.35		2.53		5.65		2.42	5.14		2.4	4.23		2.4	6.1		2.1	5.02		2.32
oilfire 		9230		6.43		2.29		4.53		2.24	5.76		2.3	6.13		1.94	5.26		2.22	2.45		1.66
warvicti		9250		5.95		2.36		4.85		2.32	5.9		2.2	5.73		2.54	5.95		1.85	3.48		2.43
deadbody		9252		7.2		1.83		4.96		2.47	6.09		2	6.04		2.19	4.96		2.3	2.12		1.92
mutilati		9253		7.3		1.77		5.91		2.37	6.52		1.97	6.74		2.18	5.65		2.33	2.39		2.06
hung man		9265		6.54		2.1		5.36		1.85	6.85		1.43	6.92		1.29	6		1.9	2.68		1.49
toxicwas		9270		6.64		2.04		6.36		1.87	6.84		1.93	4.92		2.04	7.16		1.6	4.08		2.41
smoke   		9280		4.06		2.17		4.84		2.46	4.22		2.15	3		1.72	5.03		2.4	5.25		2.17
garbage 		9290		5.36		2.66		4.76		2.65	5.08		2.43	4.16		1.95	5.2		2.74	4.12		2.54
dirty   		9300		6.8		2.02		2.76		2.3	5.2		2.33	6.28		1.72	2.88		2.24	1.76		1.13
vomit   		9320		4.69		2.77		2.66		2.16	4.03		2.49	5.17		2.54	2.83		2.25	4.21		2.13
garbage 		9330		5.27		2.1		4.24		2.48	4		2.38	4.46		2.3	4.63		2.43	3.39		2.17
bag man 		9331		3.94		1.48		3.94		2.21	4.19		1.94	3.44		2.08	4.81		1.87	4.44		2.23
garbage 		9340		4.36		2.31		6.2		1.94	5.16		1.68	3.2		1.98	6.32		1.82	7.04		1.67
poolno  		9360		4.12		2.11		2.49		1.83	2.91		1.91	3.07		1.74	2.7		2.21	3.28		2.24
garbage 		9373		4.63		2.23		2.66		1.82	3.63		2.25	4.5		2.11	3.09		1.96	3.97		2.57
dishes  		9390		3		1.98		3.96		2.32	2.83		2.12	2.17		1.52	3.25		2.07	5.75		2.64
soldier 		9400		5.93		2.01		4.95		2.64	5.63		2.19	6.1		1.96	5.5		2.35	3.55		2.33
knives  		9401		3.73		2.21		2.58		2.07	3.25		2.04	3.1		2.01	3.49		2.06	5.44		2.73
mob     		9402		6.12		2.07		3.37		2.23	4.56		2.28	5.63		1.95	3.93		2.37	1.95		1.59
soliders		9404		5.58		2.1		5.58		2.02	5.29		2.37	4.21		2.57	5.54		1.77	3.96		2.44
slicehan		9405		3.9		2.62		6.75		2.37	4.15		2.34	6.75		1.96	6.51		2.09	4.66		2.25
soldier 		9410		7.24		2.11		5.39		2.52	7.37		1.79	7.17		1.83	6.61		1.97	2.59		1.73
boy     		9411		5.23		1.93		4.5		2.2	4.65		2.32	4.26		1.86	4.74		2.21	3.49		2.28
handicap		9415		6.28		2.35		5.08		2.12	6.56		1.96	5.56		2	6.28		1.88	3.64		2.16
speeding		9417		3.68		2.46		2.6		2.2	2.6		1.94	1.68		0.85	2.79		2.21	5.08		2.23
soldier 		9420		6.81		1.67		4.38		2.1	6		1.55	6.31		1.72	5.19		2.32	2.73		2.13
soldier 		9421		6.64		2.04		6.36		1.87	6.84		1.93	4.92		2.04	7.16		1.6	4.08		2.41
burial  		9430		5.03		2.58		3.07		2.09	4.28		2.58	4.41		2.63	4.17		2.28	2.45		1.55
mastecto		9432		6.28		2.03		5.48		2.33	5.92		2.14	5.52		2.1	2.96		2.41	2.84		1.97
mastecmy		9433		5.84		2.03		4.08		2.55	5.64		2.27	5.68		1.95	4.4		2.48	2.28		1.57
skulls  		9440		6.96		1.79		3.04		2.05	4.2		2.33	4.6		2.5	3.76		1.96	2.36		1.29
gun     		9452		6.38		2.2		2.9		1.98	4.49		2.62	5.74		2.58	3.13		2.04	1.95		1.48
ruins   		9470		5.95		1.84		4.74		2.25	5.76		1.98	5.05		1.99	5.08		2.25	3.63		1.94
skull   		9480		6.72		2.57		3.44		2.35	5.6		1.96	6.32		1.95	4.04		2.44	2.2		1.89
corpse  		9490		6.88		2.17		2.68		1.99	3.96		2.05	4.83		2.08	2.76		1.96	2.56		2
porpoise		9500		5.03		2.81		2.9		2.14	3.79		2.53	4.07		2.25	3.55		2.15	2.79		2.19
kids    		9520		5.9		2.19		5.4		2.44	5.6		1.96	5.95		1.78	5.55		2.23	2.2		1.36
boys    		9530		5.27		1.66		4.65		1.81	4.58		2.14	4.5		1.75	4.69		1.62	3.69		1.89
duckoil 		9560		5.73		2.08		6.08		2.21	5.67		2.19	4.95		2.15	5.9		2.17	3.67		1.94
sickkitt		9561		6.12		1.88		5.71		2.12	6.14		2.06	6.26		1.88	6.37		1.89	3.41		2.19
dog     		9570		6.87		1.98		5.17		2.74	5.96		2.38	6.26		2.12	4.74		2.45	2.57		1.65
cat     		9571		5.28		2.32		4.88		2.75	5.35		2.5	5.19		2.51	5.73		2.38	3.81		2.4
dentalex		9582		2.73		2.87		3.5		2.27	2.73		2.05	2.32		1.49	3.24		2.13	6.64		2.06
dentalex		9584		3.91		2.52		4.23		2.43	3.91		2.31	3.73		2.14	3.95		2.36	5.36		2.36
injectio		9592		3.6		2.29		4.96		2.19	3.6		2.29	2.72		1.49	4.84		1.93	6.32		2.1
injectio		9594		3.94		2.02		3.98		2.05	3.85		2.1	3.42		2.19	4.1		1.87	5.12		1.98
ship    		9600		6.23		2.43		4.75		2.32	5.98		2.21	5.83		2.07	5.44		2.13	3.34		2.27
planecra		9611		5.52		2.02		4.76		2.13	5.24		2.35	5.04		2.03	5.5		2.06	3.84		2.44
shipwrec		9620		5.97		1.94		4.34		2.34	5.45		1.91	5.53		1.65	4.59		1.95	3.66		1.93
ship    		9621		5.2		2.27		3.56		2.53	4.56		2.27	1.16		2.43	4.08		2.38	2.76		1.81
jet     		9622		5.7		2.25		4.52		2.52	4.81		2.47	5.04		2.17	4.63		2.15	3.33		1.66
bomb    		9630		5.95		2.19		5.05		2.25	5.44		2.16	4.7		2.23	5.37		2.29	2.95		2.22
workertr		9700		4		2.36		2.84		2.27	2.16		1.46	3.8		2.06	3.08		2.1	2.08		1.66
skinhead		9800		5.71		1.94		5.29		2.48	5.39		2.11	5.16		1.94	5.55		1.97	3.58		2.06
kkkrally		9810		7.32		1.75		5.92		2.55	6.44		2.45	6.92		1.63	6.4		1.87	2.72		2.28
cigarret		9830		2.49		1.94		3.92		2.66	2.77		2.21	2.15		1.5	3.66		2.26	6.87		2.21
autoacci		9910		5.28		2.49		6.24		2.24	6.48		2.26	4.8		2.43	6.08		2.22	4.24		2.35
caraccid		9911		5.1		2.44		6.5		2.03	6.85		2.08	5.3		2.1	6.93		1.85	5.28		2.22
firefigh		9912		6.96		1.59		5.12		2.74	5.84		1.68	6.16		1.93	5.32		2.14	2.12		1.69
autoacci		9920		5.69		2.13		6.03		2.19	6.46		2.16	4.64		2.11	6.18		2.22	5.03		2.16
fire    		9921		6.28		2.3		6.1		1.98	6.73		1.89	6.51		1.83	6.44		1.86	2.72		1.93
																						
																						
																						
																						
