Means and Standard Deviations for the Six Emotions														
														
Description	IAPS #	N	Happiness		Surprise		Sadness		Anger		Disgust		Fear	
			M	SD	M	SD	M	SD	M	SD	M	SD	M	SD
girl    	2320	38	5.16	3.01	2.4	1.64	1.16	0.55	1	0.33	1.16	1.03	1	0.33
chef    	2331	29	6.64	2.18	3.07	2.04	1.25	0.8	1.07	0.38	1.14	0.76	1.19	0.79
family  	2340	25	1.48	1.05	2.64	1.75	6.96	2.64	3.68	2.94	2.44	2.48	4.72	2.94
children	2341	26	6.96	1.99	2.58	1.47	1.13	0.45	1	0	1.04	0.2	1.09	0.29
children	2344	25	4.4	2.6	2.68	1.8	1.52	1.05	1.36	0.95	1.12	0.44	1.08	0.4
children	2345	25	7.12	1.74	2.96	1.67	1.24	0.66	1.09	0.29	1	0	1	0
nursinba	2351	25	5.36	2.7	5.57	2.57	1.36	0.81	1.4	1.15	1.56	1.56	1.2	0.82
kiss    	2352	25	6.55	2.28	4.77	2.35	1.18	0.5	1.09	0.29	1.41	0.8	1.05	0.21
kiss    	2352	25	5.68	2.53	3.12	2.42	1.24	1.2	1.28	1.4	1.24	1.2	1.2	1
bloodyki	2352	25	1.08	0.41	6.64	2.51	7.72	1.4	4.92	2.99	6.72	2.61	4.68	2.5
family  	2360	25	6.75	2.58	2.5	1.72	1.22	0.85	1.13	0.63	1.38	1.44	1.29	1.43
threemen	2370	25	6.68	1.93	2.16	1.7	1.12	0.6	1.04	0.2	1	0	1.04	0.2
woman   	2372	25	2.76	2.2	2.16	1.91	1.28	0.84	1.28	0.84	1.24	0.83	1.6	1.32
girl    	2381	25	3.24	1.85	1.64	1.32	1.44	1.26	1.32	0.99	1.24	2.88	1.2	0.82
secretar	2383	25	3.25	2.17	3.88	3.07	1.36	0.76	1.25	0.61	1.16	0.47	1.4	1.08
girl    	2385	25	4.44	2.36	1.64	0.95	2.44	1.94	1.16	0.47	1.12	0.33	1.08	0.28
teens   	2389	26	5.46	2.49	2.69	1.95	1.62	1.33	1.35	0.94	1.42	1.27	1.27	0.87
boy     	2391	25	6.4	2.47	2.68	1.97	1.52	1.5	1.28	1.21	1.12	0.44	1.04	0.2
boy     	2410	38	2.95	2.13	2.74	1.67	4.61	2.41	2.68	2.52	2.11	2.01	2.42	2.3
neutgirl	2440	26	3	2.08	1.81	1.3	1.88	1.53	1.46	1.27	1.35	1.06	1.35	0.69
elderlym	2480	41	3.13	2.45	2.37	1.79	4.88	2.63	2.39	2.07	2.1	2.15	2.61	2.49
man     	2485	25	3.88	2.62	2.8	2.02	2.88	2.3	1.54	1.61	1.72	1.86	1.56	1.58
musician	2487	26	3.31	2.56	2.15	1.67	1.42	1.27	1.42	1.27	1.85	2.22	1.24	1.2
man     	2490	25	2.52	2.16	2.24	1.3	4.24	2.7	2.32	1.91	3.13	2.36	1.88	1.36
man     	2495	41	3.54	2.2	2.1	1.53	2.49	2.17	1.61	1.39	1.49	1.52	1.46	1.19
man     	2500	27	5.44	2.61	2.3	1.46	2.52	1.91	1.37	1.08	1.48	1.28	1.41	1.08
couple  	2501	25	5.73	2.68	2.55	2.28	1.59	1.82	1.41	1.71	1.36	1.71	1.27	1.28
eldwoman	2510	40	7	1.76	2.24	1.73	1.82	1.89	1.16	0.83	1.08	0.28	1.58	1.48
woman   	2514	41	3.15	2.02	2.93	1.82	2.27	1.75	2.41	1.87	1.54	1.27	1.56	1.27
harvast 	2515	25	5.71	2.37	2.8	2.25	1.68	1.63	1.24	0.83	1.32	1.22	1.36	1
elderwom	2516	40	4.4	2.49	2.3	1.98	2.45	2.05	1.38	1.1	1.4	1.1	1.8	1.64
quilting	2518	40	5.26	2.58	2.46	1.76	2.62	2.24	1.68	1.56	1.62	1.46	1.54	1.5
elderman	2520	40	2.63	1.96	2.8	1.91	5.78	2.63	2.7	2.2	2.7	2.23	2.95	2.49
couple  	2530	25	6.08	2.43	2.84	1.99	1.2	0.65	1.12	0.44	1.04	0.2	1.24	1.01
mother  	2540	43	7	1.96	1.93	1.37	1.33	1.11	1.07	0.4	1.05	0.21	1.23	0.75
couple  	2550	25	7.2	1.89	3.2	2.06	1.68	1.52	1.16	0.8	1.36	1.25	1.28	0.89
picnic  	2560	25	4.2	2.61	1.88	1.33	1.64	1.38	1.16	0.62	1.04	0.2	1.08	0.4
man     	2570	25	2.96	1.99	1.8	1.35	2.2	1.78	1.64	1.32	1.44	1.26	1.68	1.46
propelle	2575	68	2.35	1.95	1.96	1.56	1.71	1.8	1.37	1.23	1.46	1.62	1.78	1.84
chess   	2580	25	1.08	0.41	6.64	2.51	7.72	1.4	4.92	2.99	6.72	2.61	4.68	2.5
elderlyw	2590	25	2.88	2.17	1.96	1.17	4.6	2.52	1.56	1.64	1.48	1.08	2.24	2.05
beer    	2600	39	3.36	2.19	2.26	1.45	2.21	1.98	1.69	1.64	2.36	2.39	1.56	1.37
dancer  	2616	25	3.36	2.51	2.68	2.1	1.64	1.41	1.36	1.08	1.36	1.25	1.24	1.01
woman   	2620	25	3.4	2.31	2.16	1.55	1.76	1.56	1.42	1.06	1.32	0.9	1.28	0.89
male    	2630	25	3.4	2.65	2.84	1.84	1.32	0.75	1.36	1.08	1.4	0.91	1.16	0.37
boy     	2650	51	5.2	2.6	2.92	2.19	1.74	1.7	1.39	1.08	1.39	1.18	1.26	1.02
child   	2655	25	7.52	1.53	3.24	2.3	1.16	0.47	1	0	1	0	1.08	0.4
baby    	2660	41	6.98	2.11	2.88	1.87	1.27	1	1.1	0.49	1.32	1.35	1.63	1.48
baby    	2661	25	3.16	2.81	4.2	2.35	4.52	2.96	1.8	1.55	3	2.58	2.52	1.58
police  	2681	26	2.35	2.04	3.38	2.17	2.38	1.88	3.04	2.57	2.85	2.54	3.88	2.72
Police  	2682	25	2.36	1.91	2.76	1.85	2.8	2.22	4.2	2.29	2.72	2.35	4.32	2.61
terroris	2690	29	1.76	1.15	3.28	2.51	2.28	1.94	2.86	2.67	2.72	2.53	3.62	2.57
riot    	2691	25	1.48	1.39	4.56	2.38	6	2.55	5.88	2.55	5.88	2.17	4.92	2.68
bomb    	2692	38	1.89	1.89	4.63	2.35	4.47	2.87	4.97	2.92	4.84	3	5.92	2.82
woman   	2700	26	1.58	1.42	2.58	2.1	5.73	2.52	2.81	2.42	2.19	1.74	2.5	1.86
bingeat 	2702	50	3.02	2.1	2.35	1.41	2.45	2.36	2.26	2.23	2.92	2.48	1.88	2.02
drugaddi	2710	40	1.74	1.52	3.95	2.07	5	2.46	4.7	2.75	5.38	2.91	2.63	2.25
urinatin	2720	25	2.72	2.23	4.28	2.53	1.2	0.5	1.04	0.2	1.58	1.5	1.32	1.07
jail    	2722	25	1.72	1.31	1.76	1.13	3.32	2.27	2.88	2.17	4.16	2.72	3.08	2.53
nativebo	2730	51	1.33	1.05	7.24	2.49	4.51	3.49	3.43	2.8	7.39	2.49	2.12	1.97
