norm,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,var,language,dim,window,alg,family
imagine_mean,0.7413679429833792,0.5496264268834069,0.8411557725295935,0.917145447859604,Clarke2024.csv,norms,True,,th,100,2,sg,fasttext
body_object_interaction_mean,0.4796464406761199,0.23006070805327059,0.4791661767069775,0.6922183013377915,Clarke2024.csv,norms,True,,th,100,2,sg,fasttext
aoa_mean,0.4643491015479979,0.2156200881084329,0.3291869791752531,0.573748184463579,Clarke2024.csv,norms,True,,th,100,2,sg,fasttext
,0.11307821040899922,0.0127866816693019,0.02755085446504746,0.165984500677164,th.subs.2018.tsv,counts,True,unigram_freq,th,100,2,sg,fasttext
,0.10679128034096652,0.011404377556862903,0.032313043355886695,0.1797582914802171,th.wiki.2018.tsv,counts,True,unigram_freq,th,100,2,sg,fasttext
imagine_mean,0.723954594153214,0.5241102543955447,0.8021054744885586,0.8956034136204253,Clarke2024.csv,norms,False,,th,100,2,sg,word2vec
body_object_interaction_mean,0.40914868920944497,0.16740264988180698,0.3486631350187304,0.5904770402130217,Clarke2024.csv,norms,False,,th,100,2,sg,word2vec
aoa_mean,0.3489449307943583,0.1217625647270795,0.18589478935275,0.4311551801297881,Clarke2024.csv,norms,False,,th,100,2,sg,word2vec
,0.06806136247007324,0.004632349061282694,0.009981102065370062,0.09990546564312716,th.subs.2018.tsv,counts,False,unigram_freq,th,100,2,sg,word2vec
,0.07953583785926267,0.006325949503974922,0.01792387875356527,0.1338800909529317,th.wiki.2018.tsv,counts,False,unigram_freq,th,100,2,sg,word2vec
imagine_mean,0.7441848658707407,0.5538111145910524,0.8475600756150168,0.9206302599931293,Clarke2024.csv,norms,True,,th,100,2,sg,word2vec
body_object_interaction_mean,0.477233941059911,0.22775223449957463,0.4743581307954717,0.6887366193222716,Clarke2024.csv,norms,True,,th,100,2,sg,word2vec
aoa_mean,0.4615580472441451,0.21303583097582848,0.32524159631989347,0.5702995671749134,Clarke2024.csv,norms,True,,th,100,2,sg,word2vec
,0.09104418767287079,0.008289044109012917,0.0178600088598469,0.13364134412616066,th.subs.2018.tsv,counts,True,unigram_freq,th,100,2,sg,word2vec
,0.10116577904725736,0.010234514850238498,0.028998366673962828,0.1702890679813676,th.wiki.2018.tsv,counts,True,unigram_freq,th,100,2,sg,word2vec
imagine_mean,0.5977850606715743,0.3573469787621178,0.5468886852588128,0.7395192257533355,Clarke2024.csv,norms,False,,th,200,3,cbow,fasttext
body_object_interaction_mean,0.0,-0.40450896585260315,-0.8425037732492959,0.0,Clarke2024.csv,norms,False,,th,200,3,cbow,fasttext
aoa_mean,0.0,-0.4145086558421648,-0.6328299624386448,0.0,Clarke2024.csv,norms,False,,th,200,3,cbow,fasttext
,0.15392020065349227,0.02369142816921132,0.05104679278331503,0.2259353730236039,th.subs.2018.tsv,counts,False,unigram_freq,th,200,3,cbow,fasttext
,0.09284854010037144,0.008620851398770285,0.024426229631926366,0.15628892997242755,th.wiki.2018.tsv,counts,False,unigram_freq,th,200,3,cbow,fasttext
imagine_mean,0.7391316925306148,0.5463156589031714,0.8360889281024204,0.9143789849413756,Clarke2024.csv,norms,True,,th,200,3,cbow,fasttext
body_object_interaction_mean,0.4592221837009237,0.2108850140030449,0.43922739671495115,0.662742330559133,Clarke2024.csv,norms,True,,th,200,3,cbow,fasttext
aoa_mean,0.5258310949460525,0.2764983404121645,0.42212974786226076,0.6497151282387233,Clarke2024.csv,norms,True,,th,200,3,cbow,fasttext
,0.11853294435880274,0.014050058898367026,0.030272993255441583,0.17399135971490534,th.subs.2018.tsv,counts,True,unigram_freq,th,200,3,cbow,fasttext
,0.08291414704203076,0.006874755779707498,0.019478860679874588,0.13956668900520133,th.wiki.2018.tsv,counts,True,unigram_freq,th,200,3,cbow,fasttext
imagine_mean,0.6139661851825885,0.3769544765476605,0.5768962670279281,0.7595368766741534,Clarke2024.csv,norms,False,,th,200,3,cbow,word2vec
body_object_interaction_mean,0.0,-0.21874010163406823,-0.45558782757559246,0.0,Clarke2024.csv,norms,False,,th,200,3,cbow,word2vec
aoa_mean,0.0,-0.17587634710112435,-0.2685102483655515,0.0,Clarke2024.csv,norms,False,,th,200,3,cbow,word2vec
,0.1553590733087078,0.024136441659340445,0.05200564217196957,0.22804745596469514,th.subs.2018.tsv,counts,False,unigram_freq,th,200,3,cbow,word2vec
,0.13727265822148418,0.01884378269519241,0.05339177558640518,0.2310666042213915,th.wiki.2018.tsv,counts,False,unigram_freq,th,200,3,cbow,word2vec
imagine_mean,0.7398090937793224,0.5473174952385822,0.8376221520804579,0.9152169972637406,Clarke2024.csv,norms,True,,th,200,3,cbow,word2vec
body_object_interaction_mean,0.48339221287232315,0.2336680314656014,0.4866794430194148,0.6976241416546698,Clarke2024.csv,norms,True,,th,200,3,cbow,word2vec
aoa_mean,0.4390847121799552,0.19279538447015412,0.29434052629059937,0.5425315901314866,Clarke2024.csv,norms,True,,th,200,3,cbow,word2vec
,0.1372023999040751,0.018824498539437746,0.04056025113088335,0.20139575747985197,th.subs.2018.tsv,counts,True,unigram_freq,th,200,3,cbow,word2vec
,0.1050875342071513,0.011043389845739195,0.03129022457403541,0.17689043098493318,th.wiki.2018.tsv,counts,True,unigram_freq,th,200,3,cbow,word2vec
