norm,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,var,language,dim,window,alg,family
,0.04240581556805252,0.0017982531939916854,0.0050963719143745645,0.07138887808597755,he.wiki.2018.tsv,counts,False,unigram_freq,he,300,4,cbow,fasttext
aoa_mean_hebrew,0.0,-0.024527806106785358,-0.3055755844137009,0.0,Luniewska2016.csv,norms,True,,he,300,4,cbow,fasttext
,0.034870119304122295,0.0012159252202837221,0.003878622137972021,0.06227858490662758,he.subs.2018.tsv,counts,True,unigram_freq,he,300,4,cbow,fasttext
,0.04441226208327807,0.0019724490233537792,0.00559005474798685,0.07476666869659802,he.wiki.2018.tsv,counts,True,unigram_freq,he,300,4,cbow,fasttext
aoa_mean_hebrew,0.0,-0.10973629606915297,-1.367131355194864,0.0,Luniewska2016.csv,norms,False,,he,300,4,cbow,word2vec
,0.08256632493201242,0.006817198012778656,0.021745856316009615,0.14746476296393526,he.subs.2018.tsv,counts,False,unigram_freq,he,300,4,cbow,word2vec
,0.06998575464581443,0.004898005853344135,0.013881281874448148,0.11781885194843883,he.wiki.2018.tsv,counts,False,unigram_freq,he,300,4,cbow,word2vec
aoa_mean_hebrew,0.0,-0.03132241939374121,-0.3902251416136926,0.0,Luniewska2016.csv,norms,True,,he,300,4,cbow,word2vec
,0.04694992343975637,0.002204295310998984,0.007031376970594971,0.08385330625917485,he.subs.2018.tsv,counts,True,unigram_freq,he,300,4,cbow,word2vec
,0.04394502568294936,0.0019311652822750788,0.00547305381660701,0.07398009067720186,he.wiki.2018.tsv,counts,True,unigram_freq,he,300,4,cbow,word2vec
aoa_mean_hebrew,0.0,-0.0279127646638327,-0.3477465264369157,0.0,Luniewska2016.csv,norms,False,,he,300,4,sg,fasttext
,0.0365576432471451,0.0013364612797855334,0.0042631143921079695,0.06529252937440828,he.subs.2018.tsv,counts,False,unigram_freq,he,300,4,sg,fasttext
,0.059426070591406296,0.0035314578659348043,0.010008391891020041,0.10004195065581259,he.wiki.2018.tsv,counts,False,unigram_freq,he,300,4,sg,fasttext
aoa_mean_hebrew,0.0,-0.014077388073578353,-0.17538079308333032,0.0,Luniewska2016.csv,norms,True,,he,300,4,sg,fasttext
,0.04572173135269863,0.002090476717888345,0.006668312443609714,0.08165973575520383,he.subs.2018.tsv,counts,True,unigram_freq,he,300,4,sg,fasttext
,0.05783730846114196,0.0033451542500292837,0.009480394766466227,0.09736731878030855,he.wiki.2018.tsv,counts,True,unigram_freq,he,300,4,sg,fasttext
aoa_mean_hebrew,0.0,-0.06396609149595112,-0.7969108898870577,0.0,Luniewska2016.csv,norms,False,,he,300,4,sg,word2vec
,0.030094753916062558,0.0009056942132683626,0.0028890309759313504,0.053749706752049826,he.subs.2018.tsv,counts,False,unigram_freq,he,300,4,sg,word2vec
,0.0554960015914175,0.0030798061926346136,0.008728380316132767,0.09342580112652375,he.wiki.2018.tsv,counts,False,unigram_freq,he,300,4,sg,word2vec
aoa_mean_hebrew,0.0,-0.02927857215577622,-0.3647622114407121,0.0,Luniewska2016.csv,norms,True,,he,300,4,sg,word2vec
,0.039187348617610474,0.0015356482916781375,0.004898491585569653,0.06998922478188806,he.subs.2018.tsv,counts,True,unigram_freq,he,300,4,sg,word2vec
,0.06899201107782581,0.004759897592562839,0.013489873665781749,0.11614591540722277,he.wiki.2018.tsv,counts,True,unigram_freq,he,300,4,sg,word2vec
