"","var","adjusted_r","adjusted_r_squared","r_squared","r","language","dim","window","algo","dataset"
"157","image_agree_M",0,-0.0142419830561555,-0.0408744913711662,0,"ar",200,4,"sg","Khwaileh2018.csv"
"158","aoa_M",0.260354959571489,0.0677847049734718,0.194542103273864,0.441069272647579,"ar",200,4,"sg","Khwaileh2018.csv"
"159","imagine_M",0.340303377032636,0.115806388419816,0.332364334764873,0.57651048105379,"ar",200,4,"sg","Khwaileh2018.csv"
"160","familiar_M",0,-0.002476689047961,-0.00710809756764808,0,"ar",200,4,"sg","Khwaileh2018.csv"
"161","visual_complex_M",0.0994011513540558,0.0098805888905119,0.0283572901157692,0.168396229517674,"ar",200,5,"cbow","Khwaileh2018.csv"
"162","image_agree_M",0,-0.0365815690929161,-0.104989103296669,0,"ar",200,5,"cbow","Khwaileh2018.csv"
"163","aoa_M",0.130538144488547,0.0170402071665127,0.0489053945678915,0.221145641078208,"ar",200,5,"cbow","Khwaileh2018.csv"
"164","imagine_M",0.206397867565026,0.0426000797353901,0.12226222884057,0.349660161929508,"ar",200,5,"cbow","Khwaileh2018.csv"
"165","familiar_M",0.150147789372629,0.0225443586534875,0.064702309335509,0.254366486266389,"ar",200,5,"cbow","Khwaileh2018.csv"
"166","visual_complex_M",0,-0.0018793430418717,-0.00539371453017179,0,"ar",200,5,"sg","Khwaileh2018.csv"
"167","image_agree_M",0,-0.00507910096313504,-0.0145770197641976,0,"ar",200,5,"sg","Khwaileh2018.csv"
"168","aoa_M",0.275313249109539,0.0757973851352511,0.217538495338171,0.466410222163034,"ar",200,5,"sg","Khwaileh2018.csv"
"169","imagine_M",0.311899389956121,0.0972812294550005,0.279197128535851,0.528391075374908,"ar",200,5,"sg","Khwaileh2018.csv"
"170","familiar_M",0.0592544965606236,0.00351109536265295,0.010076843690814,0.10038348315741,"ar",200,5,"sg","Khwaileh2018.csv"
"171","visual_complex_M",0,-0.0272944491693212,-0.0783350691159518,0,"ar",200,6,"cbow","Khwaileh2018.csv"
"172","image_agree_M",0,-0.0470173069199173,-0.134939670860163,0,"ar",200,6,"cbow","Khwaileh2018.csv"
"173","aoa_M",0.122171858604467,0.01492596303487,0.0428375139100769,0.206972253961919,"ar",200,6,"cbow","Khwaileh2018.csv"
"174","imagine_M",0.194387631654842,0.0377865513403785,0.108447402346886,0.329313531982648,"ar",200,6,"cbow","Khwaileh2018.csv"
"175","familiar_M",0.059208819799212,0.00350568434201556,0.0100613140615847,0.100306101816314,"ar",200,6,"cbow","Khwaileh2018.csv"
"176","visual_complex_M",0,-0.038157510880738,-0.109512056227718,0,"ar",200,6,"sg","Khwaileh2018.csv"
"177","image_agree_M",0,-0.0325201150870931,-0.0933327302999573,0,"ar",200,6,"sg","Khwaileh2018.csv"
"178","aoa_M",0.254106012954587,0.0645698658196766,0.185315514902472,0.430482885725405,"ar",200,6,"sg","Khwaileh2018.csv"
"179","imagine_M",0.301972788305014,0.0911875648767049,0.261708311196143,0.511574345717358,"ar",200,6,"sg","Khwaileh2018.csv"
"180","familiar_M",0,-0.00230245604896361,-0.00660804886052557,0,"ar",200,6,"sg","Khwaileh2018.csv"
"181","visual_complex_M",0,-0.00390744753782184,-0.0112143744335487,0,"ar",300,1,"cbow","Khwaileh2018.csv"
"182","image_agree_M",0,-0.0590571405364206,-0.169493993339527,0,"ar",300,1,"cbow","Khwaileh2018.csv"
"183","aoa_M",0.214933485422257,0.0461964031557596,0.13258367705703,0.36412041560043,"ar",300,1,"cbow","Khwaileh2018.csv"
"184","imagine_M",0.292141675061086,0.0853467583074972,0.244945196342517,0.494919383680329,"ar",300,1,"cbow","Khwaileh2018.csv"
"185","familiar_M",0.183906595491542,0.0338216358652896,0.0970680949333811,0.311557530695987,"ar",300,1,"cbow","Khwaileh2018.csv"
"186","visual_complex_M",0.0416328268072672,0.0017332922679639,0.0049745488090564,0.070530481418011,"ar",300,1,"sg","Khwaileh2018.csv"
"187","image_agree_M",0,-0.0270496948372826,-0.0776326241830011,0,"ar",300,1,"sg","Khwaileh2018.csv"
"188","aoa_M",0.283844894822104,0.0805679243165715,0.23122994278856,0.480863746594147,"ar",300,1,"sg","Khwaileh2018.csv"
"189","imagine_M",0.365092913424446,0.13329283543275,0.382550437691992,0.618506618955684,"ar",300,1,"sg","Khwaileh2018.csv"
"190","familiar_M",0.144246154682741,0.0208069531407573,0.0597159555139735,0.244368483061899,"ar",300,1,"sg","Khwaileh2018.csv"
"191","visual_complex_M",0.123600834824947,0.0152771663694238,0.0438454674802464,0.209393093200913,"ar",300,2,"cbow","Khwaileh2018.csv"
"192","image_agree_M",0,-0.0464562538378971,-0.133329448514765,0,"ar",300,2,"cbow","Khwaileh2018.csv"
"193","aoa_M",0.113393287088475,0.0128580375567293,0.0369025677878131,0.192100410691422,"ar",300,2,"cbow","Khwaileh2018.csv"
"194","imagine_M",0.26302655689624,0.0691829696326912,0.198555122845824,0.445595245537723,"ar",300,2,"cbow","Khwaileh2018.csv"
"195","familiar_M",0.105184293163283,0.0110637355282595,0.0317529209661049,0.178193493052089,"ar",300,2,"cbow","Khwaileh2018.csv"
"196","visual_complex_M",0,-0.00594871704887334,-0.0170728179302665,0,"ar",300,2,"sg","Khwaileh2018.csv"
"197","image_agree_M",0,-0.05594444943688,-0.160560569883846,0,"ar",300,2,"sg","Khwaileh2018.csv"
"198","aoa_M",0.275456960188093,0.0758765369160645,0.217765660949105,0.466653684169647,"ar",300,2,"sg","Khwaileh2018.csv"
"199","imagine_M",0.344331269206115,0.118564022953094,0.34027874587538,0.583334163130688,"ar",300,2,"sg","Khwaileh2018.csv"
"200","familiar_M",0,-0.00723922128621142,-0.0207765650914268,0,"ar",300,2,"sg","Khwaileh2018.csv"
"201","visual_complex_M",0,-0.0157398906741099,-0.0451734862346953,0,"ar",300,3,"cbow","Khwaileh2018.csv"
