Portuguese name	English translation	AoA	AoASd	Syl	Let	Fam	Wwf	LogWwf	Conc	Imag
Cravo	carnation	3,62	1,02	2	5	2,47	180	2,26		
Criador	creator	4,14	1,34	3	7	3,20	386	2,59	2,88	3,17
Cristaleira	china-closet	5,23	1,57	4	11	3,05				
Crocodilo	crocodile	2,96	1,10	4	9	1,32	72	1,86	6,70	6,48
Cronómetro	timer	5,00	0,89	4	10	1,74	11	1,04		
Croquete	croquette	3,00	1,12	3	8	2,25	34	1,53		
Cuco	cuckoo	2,13	1,17	2	4	3,10	32	1,51		
Cutelo	cleaver	5,57	2,06	3	6	3,42	25	1,40		
Dália	dahlia	4,36	1,42	2	5	2,95	43	1,63		
Damasco	apricot	4,43	1,66	3	7		109	2,04		
Dedal	thimble	3,71	1,31	2	5	2,00	10	1,00		
Delírio	delirium	5,62	1,19	3	7	3,33	183	2,26	2,08	2,38
Demónio	demon	4,24	1,55	3	7	3,23	221	2,34	2,54	3,73
Dente	tooth	1,70	0,72	2	5		1124	3,05		
Dentista	dentist	3,26	0,94	3	8	1,75	56	1,75		
Desenhador	draughtsman	3,95	1,11	4	10	2,05	39	1,59		
Desenho	drawing	1,67	0,58	3	7	1,85	1093	3,04		
Deusa	goddess	4,17	1,28	2	5	2,87	137	2,14	2,12	3,27
Devoção	devotion	5,36	1,39	3	7	3,23	179	2,25	2,00	2,35
Dia	day	1,78	0,79	2	3	2,10	21896	4,34	4,54	4,08
Diabo	devil	3,57	0,97	3	5	2,87	538	2,73	2,10	4,54
Dinheiro	money	2,29	0,78	3	8	1,35	3696	3,57		
Dinossauro	dinosaur	3,29	1,38	4	10		137	2,14		
Dióspiro	persimmon	4,52	1,78	4	8	3,00				
Disco	record	3,43	0,87	2	5	1,75	776	2,89		
Disposição	disposition	4,62	1,20	4	10	3,10	969	2,99	2,16	2,04
Disputa	dispute	4,95	1,61	3	7	3,00	276	2,44	2,82	2,69
Divã	divan	4,35	1,54	2	4	2,40	58	1,76		
Diversão	fun	4,27	1,17	3	8	2,90	126	2,10	2,78	3,79
Doces	sweets	1,87	0,62	2	5	2,10	164	2,21		
Doninha	weasel	3,91	1,53	3	7	2,26	8	0,90		
Dourada	gilthead seabream	3,90	1,58	3	7	2,05	6	0,78		
Dragão	dragon	3,00	1,09	2	6	1,93	287	2,46	4,90	6,00
Dromedário	dromedary	6,00	1,55	4	10	3,05	14	1,15	6,10	4,73
Economista	economist	4,91	1,20	5	10	2,20	215	2,33		
Electricista	electrician	4,10	1,09	5	12	1,90	36	1,56		
Eléctrico	street car	3,24	0,83	4	9	2,30	480	2,68		
Elefante	elephant	2,24	0,77	4	8	1,24	223	2,35	6,80	6,60
Elevador	lift	2,77	1,03	4	8	1,60	182	2,26		
Ema	lesser rhea	5,57	2,01	2	3	4,65				
Empório	emporium	7,14	0,96	3	7	4,03	8	0,90	3,88	1,88
Empresário	businessman	4,96	1,04	4	10	2,80	907	2,96		
Encéfalo	encephalon	6,73	0,72	4	8	2,07	24	1,38	5,42	4,50
Enchidos	sausages	4,35	1,63	3	8	2,70	40	1,60		
Enfermeiro	nurse	2,86	0,91	4	10	1,75	558	2,75		
Engenheiro	engineer	4,23	1,45	4	10	2,25	630	2,80		
Enguia	eel	3,90	1,26	3	6	2,08	87	1,94		
Envelope	envelope	3,48	1,03	4	8	1,68	105	2,02	6,58	6,42
Enxada	hoe	3,65	1,16	3	6	1,95	164	2,21		
Ervilhas	peas	2,62	1,28	3	8	1,75	92	1,96		
Escada	stairs	2,17	0,68	3	6	1,32	850	2,93		
Escaravelho	beetle	4,41	1,50	5	11	2,50	29	1,46	6,60	6,06
Escova	brush	2,05	0,77	3	6	1,67	89	1,95	6,56	6,19
Escravo	slave	4,95	0,97	3	7	2,23	486	2,69	4,76	5,02
Escritor	writer	3,67	0,86	3	8	2,05	988	2,99		
