var,adjusted r,adjusted r-squared,r-squared,r,language,dim,window,algo,dataset,data_source
unigram_freq,0.0446621987140619,0.00199471199397435,0.00712226157208268,0.0843934924747322,af,200,3,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.232199844327482,0.0539167677057069,0.0484411347499907,0.220093468212918,af,200,3,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0341503822433895,0.00116624860736962,0.00416417390824109,0.0645304107242553,af,200,3,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.285268488255845,0.0813781103917751,0.0731135818954211,0.270395232752763,af,200,4,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0397871682819855,0.00158301875989903,0.00565228149004643,0.0751816566061591,af,200,4,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.224343720083286,0.0503301047408079,0.0452187230332163,0.212646944565908,af,200,4,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0355876751703026,0.00126648262402697,0.00452206662017679,0.0672463130600986,af,200,4,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.295527383057253,0.0873364341366686,0.0784667952962293,0.280119251920016,af,200,5,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0401321244544883,0.00161058741323054,0.00575071733482513,0.0758334842587701,af,200,5,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.246289109591087,0.0606583255031706,0.0544980391897059,0.23344815096656,af,200,5,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0386901003435536,0.00149692386459424,0.00534487352025725,0.0731086418985967,af,200,5,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.283084113864451,0.0801366155224216,0.0719981696996078,0.268324746714886,af,200,6,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.037777672638959,0.00142715255001635,0.00509575006075386,0.0713845225574414,af,200,6,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.248454886279338,0.0617298305160789,0.0554607252134471,0.235501008943586,af,200,6,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.034986749282017,0.00122407262532272,0.00437063869225746,0.0661108061685641,af,200,6,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.246271689208061,0.0606497449053919,0.0544903300129336,0.23343163884301,af,300,1,cbow,dedup.af.words.unigrams.tsv,Subtitles
